"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestAnalysisStepsValue","23","TestAnalysisStepsValue","","Thu Jul 23 18:20:59 UTC 2026","passed","Thu Jul 23 18:20:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestAnalysisStepsValue","TestAnalysisStepsValue"
"","391","disables a nested graph data option while its source kind is selected","GraphDataCheckboxes","Thu Jul 23 18:22:35 UTC 2026","passed","Thu Jul 23 18:22:35 UTC 2026","","","",""
"","646","should display Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and user role is selected","UpdateUserForm","Thu Jul 23 18:22:13 UTC 2026","passed","Thu Jul 23 18:22:13 UTC 2026","","","",""
"Test cases for TestLocalStore_Stat","14","TestLocalStore_Stat","","Thu Jul 23 18:21:06 UTC 2026","passed","Thu Jul 23 18:21:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Stat","TestLocalStore_Stat"
"","127","renders count for a selected zone if prop is set","DynamicDetails","Thu Jul 23 18:24:38 UTC 2026","passed","Thu Jul 23 18:24:38 UTC 2026","","","",""
"","11","returns all collected environment ids associated to a given aggregation","getEnvironmentAggregationIds","Thu Jul 23 18:22:22 UTC 2026","passed","Thu Jul 23 18:22:22 UTC 2026","","","",""
"","280","Trying to view the edge info does not crash the app when selecting an unrecognized edge","EdgeInfoContent","Thu Jul 23 18:22:41 UTC 2026","passed","Thu Jul 23 18:22:41 UTC 2026","","","",""
"","442","toggles parent from some to all","GraphDataCheckboxes","Thu Jul 23 18:22:30 UTC 2026","passed","Thu Jul 23 18:22:31 UTC 2026","","","",""
"Test cases for TestOrphanFileSweeper_ClearLegacyLocalIngestFiles","24","TestOrphanFileSweeper_ClearLegacyLocalIngestFiles","","Thu Jul 23 18:20:59 UTC 2026","passed","Thu Jul 23 18:20:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestOrphanFileSweeper_ClearLegacyLocalIngestFiles","TestOrphanFileSweeper_ClearLegacyLocalIngestFiles"
"","265","should render the pathfinding search controls when searchType is pathfinding","ExploreSearch rendering per tab","Thu Jul 23 18:28:14 UTC 2026","passed","Thu Jul 23 18:28:14 UTC 2026","","","",""
"","309","should not display generate/revoke api tokens button","User Actions Menu","Thu Jul 23 18:25:04 UTC 2026","passed","Thu Jul 23 18:25:05 UTC 2026","","Api Keys","",""
