"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestRegister","2","TestRegister","","Thu Jul 16 19:43:20 UTC 2026","passed","Thu Jul 16 19:43:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/analysis/TestRegister","TestRegister"
"Test cases for TestResources_ListKinds","58","TestResources_ListKinds","","Thu Jul 16 19:42:58 UTC 2026","passed","Thu Jul 16 19:42:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListKinds","TestResources_ListKinds"
"Test cases for TestParseVersion","0","TestParseVersion","","Thu Jul 16 19:43:11 UTC 2026","passed","Thu Jul 16 19:43:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/version/TestParseVersion","TestParseVersion"
"Test cases for TestInt64ValueOrZero","0","TestInt64ValueOrZero","","Thu Jul 16 19:43:02 UTC 2026","passed","Thu Jul 16 19:43:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64ValueOrZero","TestInt64ValueOrZero"
"","138","does not trigger search for fewer than 3 characters","SearchBar","Thu Jul 16 19:50:01 UTC 2026","passed","Thu Jul 16 19:50:01 UTC 2026","","","",""
"","0","returns paramValue as EnvironmentAggregation for unknown values (custom types)","useEnvironmentParams","Thu Jul 16 19:50:16 UTC 2026","passed","Thu Jul 16 19:50:16 UTC 2026","","parseEnvironmentAggregation","",""
"Test cases for TestManagementResource_ListPermissions","0","TestManagementResource_ListPermissions","","Thu Jul 16 19:43:03 UTC 2026","passed","Thu Jul 16 19:43:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions","TestManagementResource_ListPermissions"
"Test cases for TestIngestGenericData_RegisterNodeKind","0","TestIngestGenericData_RegisterNodeKind","","Thu Jul 16 19:43:07 UTC 2026","passed","Thu Jul 16 19:43:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestIngestGenericData_RegisterNodeKind","TestIngestGenericData_RegisterNodeKind"
"","335","Displays a notification when analysis has been requested successfully","AnalyzeNowConfiguration","Thu Jul 16 19:47:07 UTC 2026","passed","Thu Jul 16 19:47:07 UTC 2026","","","",""
"","1","determines glyphs with the tier_managent_engine feature flag enabled","getNodeGlyphs","Thu Jul 16 19:51:10 UTC 2026","passed","Thu Jul 16 19:51:10 UTC 2026","","","",""
"","2","receives the current stored value as the previous state","useLocalStorage","Thu Jul 16 19:47:08 UTC 2026","passed","Thu Jul 16 19:47:08 UTC 2026","","functional updater","",""
"","125","returns Tag Object counts when there is a Tag selected but no Rule selected (ruleId is undefined from path params)","useObjectCounts","Thu Jul 16 19:49:41 UTC 2026","passed","Thu Jul 16 19:49:41 UTC 2026","","","",""
"","440","renders a snackbar notification in the dom and tests autoHideDuration","AppNotifications","Thu Jul 16 19:48:51 UTC 2026","passed","Thu Jul 16 19:48:52 UTC 2026","","","",""
"","99","indicates the code container is scrollable when the code is unwrapped","CodeController","Thu Jul 16 19:49:55 UTC 2026","passed","Thu Jul 16 19:49:55 UTC 2026","","","",""
"Test cases for TestResources_ListADGPOAffectedUsers","0","TestResources_ListADGPOAffectedUsers","","Thu Jul 16 19:42:58 UTC 2026","passed","Thu Jul 16 19:42:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGPOAffectedUsers","TestResources_ListADGPOAffectedUsers"
"","15","should render when search string is in the middle of the text","HighlightedText","Thu Jul 16 19:49:21 UTC 2026","passed","Thu Jul 16 19:49:21 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_Domain","0","TestDomainSelectors_GetFilterCriteria_Domain","","Thu Jul 16 19:43:03 UTC 2026","passed","Thu Jul 16 19:43:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Domain","TestDomainSelectors_GetFilterCriteria_Domain"
