"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","211","shows Popper when isCurrentSearchOpen is true","GraphControls","Mon Mar 30 16:49:20 UTC 2026","passed","Mon Mar 30 16:49:20 UTC 2026","","Searching current results","",""
"Test cases for TestReadRFC3339","0","TestReadRFC3339","","Mon Mar 30 16:48:00 UTC 2026","passed","Mon Mar 30 16:48:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestReadRFC3339","TestReadRFC3339"
"","1","lastlogon, lastlogontimestamp","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Mon Mar 30 16:49:43 UTC 2026","passed","Mon Mar 30 16:49:43 UTC 2026","","","",""
"","2","should compute normal vectors for line segments","bezier","Mon Mar 30 16:54:08 UTC 2026","passed","Mon Mar 30 16:54:08 UTC 2026","","","",""
"","0","filters by multiple platforms","filterAndSearchEnvironments","Mon Mar 30 16:48:49 UTC 2026","passed","Mon Mar 30 16:48:49 UTC 2026","","platform filters","",""
"","0","returns default error message for unknown API messages","getErrorMessage","Mon Mar 30 16:49:20 UTC 2026","passed","Mon Mar 30 16:49:20 UTC 2026","","","",""
"Test cases for TestQueryParameterFilterParser_ParseQueryParameterFilter","1","TestQueryParameterFilterParser_ParseQueryParameterFilter","","Mon Mar 30 16:47:39 UTC 2026","passed","Mon Mar 30 16:47:39 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestQueryParameterFilterParser_ParseQueryParameterFilter","TestQueryParameterFilterParser_ParseQueryParameterFilter"
"Test cases for TestCopyMatchExpressionsSorted","1","TestCopyMatchExpressionsSorted","","Mon Mar 30 16:47:43 UTC 2026","passed","Mon Mar 30 16:47:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/endpoint/TestCopyMatchExpressionsSorted","TestCopyMatchExpressionsSorted"
"","65","initializes search tab to node search if the exploreSearchTab is not a supported tab name on first render","ExploreSearch sets searchType on tab changing","Mon Mar 30 16:53:47 UTC 2026","passed","Mon Mar 30 16:53:48 UTC 2026","","","",""
"Test cases for TestExpireUserAuthSecret_Failure","0","TestExpireUserAuthSecret_Failure","","Mon Mar 30 16:47:42 UTC 2026","passed","Mon Mar 30 16:47:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestExpireUserAuthSecret_Failure","TestExpireUserAuthSecret_Failure"
"Test cases for TestTimePointer","0","TestTimePointer","","Mon Mar 30 16:47:38 UTC 2026","passed","Mon Mar 30 16:47:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimePointer","TestTimePointer"
"","250","fires delete when edit is clicked","ListItemActionMenu","Mon Mar 30 16:51:45 UTC 2026","passed","Mon Mar 30 16:51:46 UTC 2026","","","",""
"","0","returns query config when searchType is composition and all required params are passed","useExploreGraph","Mon Mar 30 16:49:12 UTC 2026","passed","Mon Mar 30 16:49:12 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"","670","renders the Platforms dropdown and handles click event","QuerySearchFilter","Mon Mar 30 16:51:21 UTC 2026","passed","Mon Mar 30 16:51:22 UTC 2026","","","",""
