"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","414","navigates to rule details when clicking a rule row","RulesAccordion","Tue Jul 14 18:55:14 UTC 2026","passed","Tue Jul 14 18:55:14 UTC 2026","","","",""
"Test cases for TestManagementResource_ListUsers_SortingError","0","TestManagementResource_ListUsers_SortingError","","Tue Jul 14 18:50:48 UTC 2026","passed","Tue Jul 14 18:50:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_SortingError","TestManagementResource_ListUsers_SortingError"
"","1141","should call onSubmit with password when reset password button clicked","PasswordResetForm","Tue Jul 14 18:54:45 UTC 2026","passed","Tue Jul 14 18:54:46 UTC 2026","","","",""
"","5","matches all AD edges","Make sure pathfinding filterable edges match schemagen","Tue Jul 14 18:57:21 UTC 2026","passed","Tue Jul 14 18:57:21 UTC 2026","","","",""
"Test cases for TestResources_DeleteAssetGroupSelector","0","TestResources_DeleteAssetGroupSelector","","Tue Jul 14 18:50:42 UTC 2026","passed","Tue Jul 14 18:50:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteAssetGroupSelector","TestResources_DeleteAssetGroupSelector"
"","14","returns a prefer wait in the header when db config timeout limit setting is disabled and state of is disable query limit is true","useExploreGraph","Tue Jul 14 18:53:21 UTC 2026","passed","Tue Jul 14 18:53:21 UTC 2026","userSettings","exploreGraphQueryFactory","",""
"Test cases for TestIntScan","0","TestIntScan","","Tue Jul 14 18:50:49 UTC 2026","passed","Tue Jul 14 18:50:49 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntScan","TestIntScan"
"Test cases for TestArgon2Digest_String","0","TestArgon2Digest_String","","Tue Jul 14 18:51:13 UTC 2026","passed","Tue Jul 14 18:51:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2Digest_String","TestArgon2Digest_String"
"Test cases for TestQueries_BuildEntityQueryParams_InvalidLimit","0","TestQueries_BuildEntityQueryParams_InvalidLimit","","Tue Jul 14 18:50:51 UTC 2026","passed","Tue Jul 14 18:50:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_BuildEntityQueryParams_InvalidLimit","TestQueries_BuildEntityQueryParams_InvalidLimit"
"Test cases for Test_filterAndFormatSearchResults_filterEnvironments_domainSIDFail","0","Test_filterAndFormatSearchResults_filterEnvironments_domainSIDFail","","Tue Jul 14 18:50:42 UTC 2026","passed","Tue Jul 14 18:50:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_filterEnvironments_domainSIDFail","Test_filterAndFormatSearchResults_filterEnvironments_domainSIDFail"
"","374","Toggles node and edge labels on/off depending on their existing state","GraphControls","Tue Jul 14 18:52:13 UTC 2026","passed","Tue Jul 14 18:52:13 UTC 2026","","Toggling labels","",""
"Test cases for TestReadDomainIDandNameAsString","1","TestReadDomainIDandNameAsString","","Tue Jul 14 18:51:12 UTC 2026","passed","Tue Jul 14 18:51:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/internal/nodeprops/TestReadDomainIDandNameAsString","TestReadDomainIDandNameAsString"
"Test cases for TestMarshalInt64","0","TestMarshalInt64","","Tue Jul 14 18:50:49 UTC 2026","passed","Tue Jul 14 18:50:49 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalInt64","TestMarshalInt64"
"","8","hides items while permissions are loading","useSubNavRoutes","Tue Jul 14 18:54:41 UTC 2026","passed","Tue Jul 14 18:54:41 UTC 2026","","adminOnly gate","",""
"Test cases for TestResources_UpdateAssetGroup","0","TestResources_UpdateAssetGroup","","Tue Jul 14 18:50:42 UTC 2026","passed","Tue Jul 14 18:50:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroup","TestResources_UpdateAssetGroup"
"Test cases for TestManagementResource_ListPermissions_InvalidFilterPredicate","0","TestManagementResource_ListPermissions_InvalidFilterPredicate","","Tue Jul 14 18:50:48 UTC 2026","passed","Tue Jul 14 18:50:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_InvalidFilterPredicate","TestManagementResource_ListPermissions_InvalidFilterPredicate"
"Test cases for TestFoldr","0","TestFoldr","","Tue Jul 14 18:51:29 UTC 2026","passed","Tue Jul 14 18:51:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFoldr","TestFoldr"
"","14","does not render highlight for non-active tag","SelectedHighlight","Tue Jul 14 18:56:26 UTC 2026","passed","Tue Jul 14 18:56:26 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery","0","TestResources_DeleteSavedQuery","","Tue Jul 14 18:50:43 UTC 2026","passed","Tue Jul 14 18:50:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery","TestResources_DeleteSavedQuery"
"","4","should compute normal vectors for line segments","bezier","Tue Jul 14 18:58:15 UTC 2026","passed","Tue Jul 14 18:58:15 UTC 2026","","","",""
"Test cases for TestGetPlatformAggregateStats_Failure","5","TestGetPlatformAggregateStats_Failure","","Tue Jul 14 18:50:43 UTC 2026","passed","Tue Jul 14 18:50:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetPlatformAggregateStats_Failure","TestGetPlatformAggregateStats_Failure"
"","11","should render when search string matches text entirely","HighlightedText","Tue Jul 14 18:56:33 UTC 2026","passed","Tue Jul 14 18:56:33 UTC 2026","","","",""
"Test cases for TestBuildErrorResponseInternalServerError","0","TestBuildErrorResponseInternalServerError","","Tue Jul 14 18:50:32 UTC 2026","passed","Tue Jul 14 18:50:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseInternalServerError","TestBuildErrorResponseInternalServerError"
"","122","continue button is disabled when no SSO provider has been selected","LoginViaSSOForm","Tue Jul 14 18:55:40 UTC 2026","passed","Tue Jul 14 18:55:40 UTC 2026","","","",""
"Test cases for TestCache_Get","0","TestCache_Get","","Tue Jul 14 18:51:13 UTC 2026","passed","Tue Jul 14 18:51:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_Get","TestCache_Get"
"","0","properly displays bitwise integers","Formatting number properties","Tue Jul 14 18:53:59 UTC 2026","passed","Tue Jul 14 18:53:59 UTC 2026","","","",""
"","858","opens the entity information panel for the auto-selected node","GraphView","Tue Jul 14 18:57:52 UTC 2026","passed","Tue Jul 14 18:57:52 UTC 2026","","","",""
"","64","applies accent styling to headers when accent is true","<DetailsAccordion />","Tue Jul 14 18:53:53 UTC 2026","passed","Tue Jul 14 18:53:53 UTC 2026","","","",""
"Test cases for TestDefineSID","0","TestDefineSID","","Tue Jul 14 18:51:12 UTC 2026","passed","Tue Jul 14 18:51:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestDefineSID","TestDefineSID"
"Test cases for TestManagementResource_ListRoles_Filtered","0","TestManagementResource_ListRoles_Filtered","","Tue Jul 14 18:50:48 UTC 2026","passed","Tue Jul 14 18:50:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_Filtered","TestManagementResource_ListRoles_Filtered"
"Test cases for TestResources_ListUsersMinimal","8","TestResources_ListUsersMinimal","","Tue Jul 14 18:51:28 UTC 2026","passed","Tue Jul 14 18:51:28 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestResources_ListUsersMinimal","TestResources_ListUsersMinimal"
"Test cases for TestIsDeadlockError","1","TestIsDeadlockError","","Tue Jul 14 18:50:44 UTC 2026","passed","Tue Jul 14 18:50:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestIsDeadlockError","TestIsDeadlockError"
