"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116","updates value when a valid date typed","ManagedDatePicker - value","Tue Mar 03 17:18:03 UTC 2026","passed","Tue Mar 03 17:18:04 UTC 2026","","","",""
"","59","stores the state of a search term without modifying the query params","useCypherSearch","Tue Mar 03 17:19:54 UTC 2026","passed","Tue Mar 03 17:19:54 UTC 2026","","","",""
"","100","invokes handleFilterChange with eq:true when clicked and custom_member filter is off","AssetGroupEdit","Tue Mar 03 17:17:02 UTC 2026","passed","Tue Mar 03 17:17:02 UTC 2026","","Custom Member checkbox filter","",""
"","1145","allows switching between the Zones and Labels tabs","Zone Management","Tue Mar 03 17:19:42 UTC 2026","passed","Tue Mar 03 17:19:43 UTC 2026","","","",""
"Test cases for TestResources_GetAssetGroupTagSelectors","1","TestResources_GetAssetGroupTagSelectors","","Tue Mar 03 17:14:59 UTC 2026","passed","Tue Mar 03 17:14:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagSelectors","TestResources_GetAssetGroupTagSelectors"
"Test cases for TestResources_GetAssetGroupSelectorMemberCountsByKind","0","TestResources_GetAssetGroupSelectorMemberCountsByKind","","Tue Mar 03 17:14:59 UTC 2026","passed","Tue Mar 03 17:14:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupSelectorMemberCountsByKind","TestResources_GetAssetGroupSelectorMemberCountsByKind"
"","70","button is disabled when note is falsy","NoteCell component","Tue Mar 03 17:19:01 UTC 2026","passed","Tue Mar 03 17:19:01 UTC 2026","","","",""
"","168","a timeout response from the server is handled","ExploreSearchCombobox with search timeout","Tue Mar 03 17:17:06 UTC 2026","passed","Tue Mar 03 17:17:06 UTC 2026","","","",""
"","831","app does not crash if ""token"" cookie exists and ""persistedState"" localstorage key does not exist","redux store","Tue Mar 03 17:21:24 UTC 2026","passed","Tue Mar 03 17:21:25 UTC 2026","","","",""
"Test cases for TestTimeFrom","0","TestTimeFrom","","Tue Mar 03 17:15:06 UTC 2026","passed","Tue Mar 03 17:15:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFrom","TestTimeFrom"
"","220","Verify Vault Reader count is the count returned by All Readers","EntityInfoDataTable","Tue Mar 03 17:17:11 UTC 2026","passed","Tue Mar 03 17:17:11 UTC 2026","","Node count for Vault Readers nested table","",""
"Test cases for TestSortJSONArrays","4","TestSortJSONArrays","","Tue Mar 03 17:15:24 UTC 2026","passed","Tue Mar 03 17:15:24 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/test/TestSortJSONArrays","TestSortJSONArrays"
"Test cases for TestResources_ListADDomainForeignUsers","2","TestResources_ListADDomainForeignUsers","","Tue Mar 03 17:14:59 UTC 2026","passed","Tue Mar 03 17:14:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignUsers","TestResources_ListADDomainForeignUsers"
"","130","shows the direct object and expanded object list when results are present for both","Seed Selection Results","Tue Mar 03 17:16:45 UTC 2026","passed","Tue Mar 03 17:16:45 UTC 2026","","","",""
"","52","disables delete button for built-in extensions","ActiveExtensionsCard","Tue Mar 03 17:16:14 UTC 2026","passed","Tue Mar 03 17:16:14 UTC 2026","","","",""
"","105","buttons are disabled while loading","PasswordResetForm","Tue Mar 03 17:17:56 UTC 2026","passed","Tue Mar 03 17:17:56 UTC 2026","","","",""
"","121","continue button is disabled when no SSO provider has been selected","LoginViaSSOForm","Tue Mar 03 17:18:46 UTC 2026","passed","Tue Mar 03 17:18:46 UTC 2026","","","",""
