"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","invalidates the extensions query after a successful upload","SchemaUploadDialog","Wed Jun 17 22:34:30 UTC 2026","passed","Wed Jun 17 22:34:30 UTC 2026","","","",""
"","1214","reverts to the default unselected state when the user de-selects the currently selected graph layout","GraphView","Wed Jun 17 22:37:07 UTC 2026","passed","Wed Jun 17 22:37:08 UTC 2026","","Layout selection and de-selection","",""
"","428","should allow user to configure 2fa","Enable2FADialog","Wed Jun 17 22:35:25 UTC 2026","passed","Wed Jun 17 22:35:26 UTC 2026","","","",""
"Test cases for TestMatches_FailureErrMsg","0","TestMatches_FailureErrMsg","","Wed Jun 17 22:33:12 UTC 2026","passed","Wed Jun 17 22:33:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureErrMsg","TestMatches_FailureErrMsg"
"Test cases for TestResources_GetUserEntityInfo","0","TestResources_GetUserEntityInfo","","Wed Jun 17 22:33:08 UTC 2026","passed","Wed Jun 17 22:33:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetUserEntityInfo","TestResources_GetUserEntityInfo"
"","0","returns query config when searchType is composition and all required params are passed","useExploreGraph","Wed Jun 17 22:34:21 UTC 2026","passed","Wed Jun 17 22:34:21 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"Test cases for TestParseOptionalBoolMisspelledValue","0","TestParseOptionalBoolMisspelledValue","","Wed Jun 17 22:32:56 UTC 2026","passed","Wed Jun 17 22:32:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestParseOptionalBoolMisspelledValue","TestParseOptionalBoolMisspelledValue"
"","750","should display a dropdown when a user types a partial query that can be autocompleted","CypherSearch","Wed Jun 17 22:34:05 UTC 2026","passed","Wed Jun 17 22:34:06 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetValidFilterPredicatesAsStrings","0","TestDomainSelectors_GetValidFilterPredicatesAsStrings","","Wed Jun 17 22:33:12 UTC 2026","passed","Wed Jun 17 22:33:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetValidFilterPredicatesAsStrings","TestDomainSelectors_GetValidFilterPredicatesAsStrings"
"","50","should navigate to the correct page on alt + digit keydown","Keyboard shortcuts","Wed Jun 17 22:35:01 UTC 2026","passed","Wed Jun 17 22:35:01 UTC 2026","","","",""
"Test cases for TestResources_GetAZRelatedEntities","160","TestResources_GetAZRelatedEntities","","Wed Jun 17 22:33:08 UTC 2026","passed","Wed Jun 17 22:33:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAZRelatedEntities","TestResources_GetAZRelatedEntities"
"Test cases for TestAssetGroupSelectorSpec_Validate","0","TestAssetGroupSelectorSpec_Validate","","Wed Jun 17 22:33:12 UTC 2026","passed","Wed Jun 17 22:33:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestAssetGroupSelectorSpec_Validate","TestAssetGroupSelectorSpec_Validate"
