"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","should render when search string matches text entirely","HighlightedText","Tue Mar 17 17:06:50 UTC 2026","passed","Tue Mar 17 17:06:50 UTC 2026","","","",""
"Test cases for TestQueryParameterFilterParser_ParseQueryParameterFilter","1","TestQueryParameterFilterParser_ParseQueryParameterFilter","","Tue Mar 17 16:59:52 UTC 2026","passed","Tue Mar 17 16:59:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestQueryParameterFilterParser_ParseQueryParameterFilter","TestQueryParameterFilterParser_ParseQueryParameterFilter"
"Test cases for TestMarshalInt","0","TestMarshalInt","","Tue Mar 17 16:59:52 UTC 2026","passed","Tue Mar 17 16:59:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalInt","TestMarshalInt"
"","72","renders citrix config controls","BloodHoundConfiguration","Tue Mar 17 17:08:46 UTC 2026","passed","Tue Mar 17 17:08:46 UTC 2026","","","",""
"Test cases for TestClearCache_HA","0","TestClearCache_HA","","Tue Mar 17 16:59:50 UTC 2026","passed","Tue Mar 17 16:59:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestClearCache_HA","TestClearCache_HA"
"","2545","when user performs a pathfinding search, the swap button is disabled until both the start and destination nodes are provided","Pathfinding: interaction","Tue Mar 17 17:04:45 UTC 2026","passed","Tue Mar 17 17:04:47 UTC 2026","","","",""
"","28","does not render the analysis toggle when multi tier analysis enabled is false","Tag Form","Tue Mar 17 17:03:05 UTC 2026","passed","Tue Mar 17 17:03:05 UTC 2026","","","",""
"","463","renders the form for creating a new zone","Tag Form","Tue Mar 17 17:03:03 UTC 2026","passed","Tue Mar 17 17:03:04 UTC 2026","","","",""
"","3759","Typing in the search bar filters the results","ExploreTable","Tue Mar 17 17:03:02 UTC 2026","passed","Tue Mar 17 17:03:06 UTC 2026","","","",""
"","317","sets a primarySearch=id and searchType=node when secondarySearch is falsey","ContextMenu","Tue Mar 17 17:03:55 UTC 2026","passed","Tue Mar 17 17:03:56 UTC 2026","","","",""
"Test cases for TestInt64FromPtr","0","TestInt64FromPtr","","Tue Mar 17 16:59:52 UTC 2026","passed","Tue Mar 17 16:59:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64FromPtr","TestInt64FromPtr"
"","1","determines glyphs with the tier_managent_engine feature flag enabled","getNodeGlyphs","Tue Mar 17 17:08:14 UTC 2026","passed","Tue Mar 17 17:08:14 UTC 2026","","","",""
"Test cases for TestAuditLogin_UserNotFound","0","TestAuditLogin_UserNotFound","","Tue Mar 17 16:59:46 UTC 2026","passed","Tue Mar 17 16:59:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestAuditLogin_UserNotFound","TestAuditLogin_UserNotFound"
"Test cases for TestResources_GetAssetGroup","0","TestResources_GetAssetGroup","","Tue Mar 17 16:59:48 UTC 2026","passed","Tue Mar 17 16:59:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroup","TestResources_GetAssetGroup"
"","118","does not trigger search for fewer than 3 characters","SearchBar","Tue Mar 17 17:07:23 UTC 2026","passed","Tue Mar 17 17:07:23 UTC 2026","","","",""
"","204","calls setExploreParams with searchType and relationshipQueryItemId when selecting a composition accordion","EdgeInfoContent","Tue Mar 17 17:03:22 UTC 2026","passed","Tue Mar 17 17:03:22 UTC 2026","","EdgeInfoContent support for Deep Linking","",""
"","245","shows a loading state","FileIngestTable","Tue Mar 17 17:05:06 UTC 2026","passed","Tue Mar 17 17:05:06 UTC 2026","","","",""
"","0","returns true if value is null","searchParams","Tue Mar 17 17:06:02 UTC 2026","passed","Tue Mar 17 17:06:02 UTC 2026","","isEmptyParam","",""
"","977","dark mode should persist between logging in and out","redux store","Tue Mar 17 17:08:37 UTC 2026","passed","Tue Mar 17 17:08:38 UTC 2026","","","",""
