"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","890","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and power user role is selected","CreateUserForm","Tue Mar 31 19:22:04 UTC 2026","passed","Tue Mar 31 19:22:05 UTC 2026","","","",""
"","622","open and closes dialog with confirm button after user inputs required text","Tag Form","Tue Mar 31 19:21:23 UTC 2026","passed","Tue Mar 31 19:21:24 UTC 2026","","","",""
"","275","calls the onReset prop when the crop button is clicked","GraphControls","Tue Mar 31 19:22:01 UTC 2026","passed","Tue Mar 31 19:22:02 UTC 2026","","Resetting graph","",""
"","304","Selecting an edge with a Computer target node that does not have haslaps enabled shows correct Windows Abuse text","EdgeInfoContent","Tue Mar 31 19:21:39 UTC 2026","passed","Tue Mar 31 19:21:40 UTC 2026","","","",""
"","285","sets the calendar date to match the valid","ManagedDatePicker - value","Tue Mar 31 19:23:49 UTC 2026","passed","Tue Mar 31 19:23:49 UTC 2026","","","",""
"","79","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","CreateUserForm","Tue Mar 31 19:22:05 UTC 2026","passed","Tue Mar 31 19:22:05 UTC 2026","","","",""
"","963","shows tooltip text on hover","ColumnHeaders","Tue Mar 31 19:23:51 UTC 2026","passed","Tue Mar 31 19:23:52 UTC 2026","","SortableHeader with Tooltip","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate","1","TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate","","Tue Mar 31 19:20:37 UTC 2026","passed","Tue Mar 31 19:20:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate","TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate"
"","198","should display ""Create Token"" button","UserTokenManagementDialog","Tue Mar 31 19:22:24 UTC 2026","passed","Tue Mar 31 19:22:24 UTC 2026","","","",""
"","112","should display locally formatted numbers if they are larger than 999","LoadContainer","Tue Mar 31 19:26:11 UTC 2026","passed","Tue Mar 31 19:26:11 UTC 2026","","","",""
"","1","EXTENDED ROUNDING with different thresholds","numberFormatting","Tue Mar 31 19:23:54 UTC 2026","passed","Tue Mar 31 19:23:54 UTC 2026","","","",""
"","23","renders details for a selected rule and is of type ""Object""","DynamicDetails","Tue Mar 31 19:22:57 UTC 2026","passed","Tue Mar 31 19:22:57 UTC 2026","","","",""
"Test cases for TestResources_GetEdgeACLInheritancePath","69","TestResources_GetEdgeACLInheritancePath","","Tue Mar 31 19:20:34 UTC 2026","passed","Tue Mar 31 19:20:34 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeACLInheritancePath","TestResources_GetEdgeACLInheritancePath"
"","0","reports an API error when the name for the rule is not unique","handleError","Tue Mar 31 19:22:07 UTC 2026","passed","Tue Mar 31 19:22:07 UTC 2026","","","",""
"","0","returns false if value is +0","searchParams","Tue Mar 31 19:24:30 UTC 2026","passed","Tue Mar 31 19:24:30 UTC 2026","","isEmptyParam","",""
"Test cases for TestParseAGMembersFromNodes_","0","TestParseAGMembersFromNodes_","","Tue Mar 31 19:20:34 UTC 2026","passed","Tue Mar 31 19:20:34 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseAGMembersFromNodes_","TestParseAGMembersFromNodes_"
"Test cases for TestResources_GetAssetGroupMemberCount_Success","0","TestResources_GetAssetGroupMemberCount_Success","","Tue Mar 31 19:20:34 UTC 2026","passed","Tue Mar 31 19:20:34 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupMemberCount_Success","TestResources_GetAssetGroupMemberCount_Success"
"","3","returns the node_keys from the graphData with duplicate keys removed and known keys added","getExploreTableData","Tue Mar 31 19:23:56 UTC 2026","passed","Tue Mar 31 19:23:56 UTC 2026","","","",""
