"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestOpenScratchReadSeeker","9","TestOpenScratchReadSeeker","","Sat Jul 18 01:40:13 UTC 2026","passed","Sat Jul 18 01:40:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestOpenScratchReadSeeker","TestOpenScratchReadSeeker"
"","14","does not add a query param if the search term is empty","useNodeSearch","Sat Jul 18 01:45:36 UTC 2026","passed","Sat Jul 18 01:45:36 UTC 2026","","","",""
"","99","renders error message on error","ObjectCountPanel","Sat Jul 18 01:45:59 UTC 2026","passed","Sat Jul 18 01:45:59 UTC 2026","","","",""
"","1","combines all filter types","filterAndSearchEnvironments","Sat Jul 18 01:41:20 UTC 2026","passed","Sat Jul 18 01:41:20 UTC 2026","","combined filters","",""
"","8","displays lastlogon cell as NEVER when the value is -1","ExploreTableDataCell","Sat Jul 18 01:45:52 UTC 2026","passed","Sat Jul 18 01:45:52 UTC 2026","","","",""
"Test cases for TestRRuleValidator","0","TestRRuleValidator","","Sat Jul 18 01:40:18 UTC 2026","passed","Sat Jul 18 01:40:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestRRuleValidator","TestRRuleValidator"
"Test cases for TestManagementResource_ListUsers_InvalidFilterPredicate","0","TestManagementResource_ListUsers_InvalidFilterPredicate","","Sat Jul 18 01:40:07 UTC 2026","passed","Sat Jul 18 01:40:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_InvalidFilterPredicate","TestManagementResource_ListUsers_InvalidFilterPredicate"
"","47","should render a navigation list item","MainNav","Sat Jul 18 01:43:37 UTC 2026","passed","Sat Jul 18 01:43:37 UTC 2026","","","",""
"","1271","does not show a warning for using labels associated with tags in label forms (also shows correct View in Explore link)","Rule Form","Sat Jul 18 01:41:15 UTC 2026","passed","Sat Jul 18 01:41:16 UTC 2026","","","",""
"","1","returns undefined when highlightedItem is null","SigmaChart Utils","Sat Jul 18 01:47:38 UTC 2026","passed","Sat Jul 18 01:47:38 UTC 2026","","getIsHighlightedItemInGraph","",""
"","1021","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and admin role is selected","UpdateUserForm","Sat Jul 18 01:41:11 UTC 2026","passed","Sat Jul 18 01:41:12 UTC 2026","","","",""
"","16","the ID value reflects the URL when it is available","usePZQueryParams","Sat Jul 18 01:44:32 UTC 2026","passed","Sat Jul 18 01:44:32 UTC 2026","","","",""
"Test cases for TestResources_GetContainerEntityInfo","212","TestResources_GetContainerEntityInfo","","Sat Jul 18 01:40:00 UTC 2026","passed","Sat Jul 18 01:40:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetContainerEntityInfo","TestResources_GetContainerEntityInfo"
"","520","renders the Namespace column header with focusable info icon","ActiveExtensionsCard","Sat Jul 18 01:41:26 UTC 2026","passed","Sat Jul 18 01:41:27 UTC 2026","","","",""
"","282","renders headers","CommonSearches","Sat Jul 18 01:43:14 UTC 2026","passed","Sat Jul 18 01:43:14 UTC 2026","","","",""
