"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","Disable Analyze Now and change to Analyzing if datapipe status is different from ""idle""","AnalyzeNowConfiguration","Fri May 29 21:06:43 UTC 2026","passed","Fri May 29 21:06:43 UTC 2026","","","",""
"Test cases for TestExpireUserAuthSecret_Success","0","TestExpireUserAuthSecret_Success","","Fri May 29 21:03:10 UTC 2026","passed","Fri May 29 21:03:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestExpireUserAuthSecret_Success","TestExpireUserAuthSecret_Success"
"","1","takes updatedParams and current URLSearchParams and returns a function","searchParams","Fri May 29 21:08:08 UTC 2026","passed","Fri May 29 21:08:08 UTC 2026","","setSingleParamFactory","",""
"","815","Download button opens a menu and selecting ""All Columns"" calls json2csv with all columns","ExploreTable","Fri May 29 21:04:09 UTC 2026","passed","Fri May 29 21:04:10 UTC 2026","","","",""
"","60","should render a navigation list item","MainNav","Fri May 29 21:06:42 UTC 2026","passed","Fri May 29 21:06:42 UTC 2026","","","",""
"","230","should have a disabled continue button","TagToZoneLabelDialog","Fri May 29 21:07:35 UTC 2026","passed","Fri May 29 21:07:35 UTC 2026","","","",""
"Test cases for TestLoginFailure","0","TestLoginFailure","","Fri May 29 21:03:10 UTC 2026","passed","Fri May 29 21:03:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginFailure","TestLoginFailure"
"","8","dismisses the ""no permission"" notification on unmount","useFinishedJobs","Fri May 29 21:07:02 UTC 2026","passed","Fri May 29 21:07:02 UTC 2026","","","",""
"","10","does not render when selector data is not defined","Delete Selector Button rendering","Fri May 29 21:09:24 UTC 2026","passed","Fri May 29 21:09:24 UTC 2026","","","",""
"","308","Selecting an edge that meets ACL inheritance criteria shows the ""ACE Inherited From"" dropdown","EdgeInfoContent","Fri May 29 21:04:40 UTC 2026","passed","Fri May 29 21:04:40 UTC 2026","","","",""
"","1","handles unix time values by converting them to our standard date display format","Formatting number properties","Fri May 29 21:06:19 UTC 2026","passed","Fri May 29 21:06:19 UTC 2026","","","",""
"","53","renders correctly when an unexpected nodeType is passed","NodeIcon","Fri May 29 21:09:03 UTC 2026","passed","Fri May 29 21:09:04 UTC 2026","","","",""
"","21","does not include OpenGraph edges when the associated feature flag is disabled","useEdgeCategories","Fri May 29 21:06:30 UTC 2026","passed","Fri May 29 21:06:30 UTC 2026","","","",""
