"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","displays ! icon when one of the Affected Object calls fail","EntityInfoDataTable","2026-09-01","passed","2026-09-01","","Node count for nested table that counts all sections","",""
"Test cases for TestMarshalBoolText","0","TestMarshalBoolText","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBoolText","TestMarshalBoolText"
"","876","should call onSave when Save button is clicked and form input is valid","UpdateUserDialog","2026-09-01","passed","2026-09-01","","","",""
"","13","shows date placeholder if no hint is given","ManagedDatePicker - placeholders","2026-09-01","passed","2026-09-01","","","",""
"","460","accepts a valid file and allows the user to continue through the upload process","File Upload","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestDisenrollMFA_Failure","0","TestDisenrollMFA_Failure","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Failure","TestDisenrollMFA_Failure"
"","822","renders the node in the entity panel when member is clicked","GroupManagement","2026-09-01","passed","2026-09-01","","","",""
"","94","normalizes items using props.objectid and props.name as fallbacks","InfiniteScrollingTable","2026-09-01","passed","2026-09-01","","","",""
"","536","toggles a nested graph data option off","GraphDataCheckboxes","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestResources_ListADDomainForeignUsers","1","TestResources_ListADDomainForeignUsers","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignUsers","TestResources_ListADDomainForeignUsers"
"Test cases for TestResources_CreateCustomNodeKindsTest","24","TestResources_CreateCustomNodeKindsTest","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateCustomNodeKindsTest","TestResources_CreateCustomNodeKindsTest"
"Test cases for TestParseVersion","0","TestParseVersion","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/version/TestParseVersion","TestParseVersion"
"Test cases for TestParseGPOData","1","TestParseGPOData","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestParseGPOData","TestParseGPOData"
"","95","button displays ""Enabled"" when flag is enabled","EarlyAccessFeatureToggle","2026-09-01","passed","2026-09-01","","","",""
"","254","passes item props to Header and Content","<DetailsAccordion />","2026-09-01","passed","2026-09-01","","","",""
"","24","renders correctly when an unexpected nodeType is passed","NodeIcon","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestUnmarshalInt64Overflow","0","TestUnmarshalInt64Overflow","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64Overflow","TestUnmarshalInt64Overflow"
"Test cases for TestManagementResource_CreateAuthToken","4","TestManagementResource_CreateAuthToken","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_CreateAuthToken","TestManagementResource_CreateAuthToken"
"","1","takes updatedParams and current URLSearchParams and returns a function","searchParams","2026-09-01","passed","2026-09-01","","setSingleParamFactory","",""
"Test cases for TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","0","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError"
"Test cases for Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail","0","Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail","Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail"
"Test cases for TestAnalysisStepsMerge","3","TestAnalysisStepsMerge","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestAnalysisStepsMerge","TestAnalysisStepsMerge"
"Test cases for TestResources_ListADIssuancePolicyLinkedCertTemplates","34","TestResources_ListADIssuancePolicyLinkedCertTemplates","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADIssuancePolicyLinkedCertTemplates","TestResources_ListADIssuancePolicyLinkedCertTemplates"
"","0","isError returns as expected based on all queries combined","queriesAreLoadingOrErrored","2026-09-01","passed","2026-09-01","","","",""
"","659","displays the default ""No notes"" tooltip when the note is missing and actor is not BloodHound","NoteCell component","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestResources_DeleteExtension","15","TestResources_DeleteExtension","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteExtension","TestResources_DeleteExtension"
"","940","shows a table with partially completed jobs","FileIngestTable","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestNewDefaultFileServices_ConfiguredS3Provider","0","TestNewDefaultFileServices_ConfiguredS3Provider","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/storage/TestNewDefaultFileServices_ConfiguredS3Provider","TestNewDefaultFileServices_ConfiguredS3Provider"
"","255","clears selected item when pathfinding search returns results","GraphView","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestResources_UpdateSavedQuery_Admin_NonPublicQuery","0","TestResources_UpdateSavedQuery_Admin_NonPublicQuery","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_Admin_NonPublicQuery","TestResources_UpdateSavedQuery_Admin_NonPublicQuery"
"","18","displays CaretDownOutline icon when the sortOrder is undefined","ColumnHeaders","2026-09-01","passed","2026-09-01","","SortableHeader","",""
"","1305","renders asset group edit options with graph write permissions","ContextMenu","2026-09-01","passed","2026-09-01","","","",""
"","174","renders item name after data is fetched","InfiniteScrollingTable","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestOrphanFileSweeper_Clear","0","TestOrphanFileSweeper_Clear","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestOrphanFileSweeper_Clear","TestOrphanFileSweeper_Clear"
"","332","should call onClose when cancel button is clicked","SaveQueryDialog","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestResources_ListADGroupMembers","0","TestResources_ListADGroupMembers","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGroupMembers","TestResources_ListADGroupMembers"
"Test cases for TestNormalizeStoragePrefixes","0","TestNormalizeStoragePrefixes","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestNormalizeStoragePrefixes","TestNormalizeStoragePrefixes"
"Test cases for TestSignRequestValuesSuccess","0","TestSignRequestValuesSuccess","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestValuesSuccess","TestSignRequestValuesSuccess"
"","71","initializes the list with all filters checked by default","usePathfindingFilters","2026-09-01","passed","2026-09-01","","","",""
"","63","prioritizes a display kind over source and tag kinds regardless of order","usePrimaryKind","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestService_FilterEnvironmentsByAccess","1","TestService_FilterEnvironmentsByAccess","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/server/etac/internal/services/TestService_FilterEnvironmentsByAccess","TestService_FilterEnvironmentsByAccess"
"","1576","renders correct search elements after keypresses","GraphView","2026-09-01","passed","2026-09-01","","","",""
"","65","List Display Roles Hook is Loading","useListDisplayRoles","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestManagementResource_SSOLoginHandler","5","TestManagementResource_SSOLoginHandler","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SSOLoginHandler","TestManagementResource_SSOLoginHandler"
"","150","renders a single item when items is an object","<DetailsAccordion />","2026-09-01","passed","2026-09-01","","","",""
"","0","returns false when the response contains relationship_id instead","isNodeResponse","2026-09-01","passed","2026-09-01","","","",""
"","256","toggles sort order when clicking sortable header","ObjectsAccordion","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestMarshalTime","0","TestMarshalTime","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalTime","TestMarshalTime"
"","144","renders a button for opening the dialog","SchemaUploadDialog","2026-09-01","passed","2026-09-01","","","",""
"","0","combines collected and risk filters","filterAndSearchEnvironments","2026-09-01","passed","2026-09-01","","combined filters","",""
"","119","should display the ""My Profile"" title","UserProfile","2026-09-01","passed","2026-09-01","","","",""
"","61","Validate Displays all the Roles","useListDisplayRoles","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestEncodingEquality","0","TestEncodingEquality","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingEquality","TestEncodingEquality"
"","136","renders details for a selected rule and is of type ""Cypher""","DynamicDetails","2026-09-01","passed","2026-09-01","","","",""
"Test cases for TestResources_SearchAssetGroupTagHistory","24","TestResources_SearchAssetGroupTagHistory","","2026-09-01","passed","2026-09-01","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchAssetGroupTagHistory","TestResources_SearchAssetGroupTagHistory"
