"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191","shows formatted expiration date (yyyy-MM-dd) when expires_at is set","UserTokenManagementDialog - API Expiration Date column","Wed Jun 10 01:02:39 UTC 2026","passed","Wed Jun 10 01:02:39 UTC 2026","","","",""
"","0","Will ignore colons after the first and use them as part of the keyword search","Parsing the debounced input for type and keyword values","Wed Jun 10 01:04:35 UTC 2026","passed","Wed Jun 10 01:04:35 UTC 2026","","","",""
"","598","renders no asset group edit options without graph write permissions","ContextMenu","Wed Jun 10 01:02:41 UTC 2026","passed","Wed Jun 10 01:02:42 UTC 2026","","","",""
"Test cases for TestContextMiddleware_InvalidWait","0","TestContextMiddleware_InvalidWait","","Wed Jun 10 01:00:03 UTC 2026","passed","Wed Jun 10 01:00:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestContextMiddleware_InvalidWait","TestContextMiddleware_InvalidWait"
"Test cases for TestDeduplicateKinds","0","TestDeduplicateKinds","","Wed Jun 10 01:00:17 UTC 2026","passed","Wed Jun 10 01:00:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestDeduplicateKinds","TestDeduplicateKinds"
"","184","handles removing from a non-tier-zero asset group","AssetGroupMenuItem","Wed Jun 10 01:06:48 UTC 2026","passed","Wed Jun 10 01:06:48 UTC 2026","","removing from an asset group","",""
"Test cases for TestIntEqual","0","TestIntEqual","","Wed Jun 10 01:00:13 UTC 2026","passed","Wed Jun 10 01:00:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntEqual","TestIntEqual"
"Test cases for TestNodeNamePrefix_String","1","TestNodeNamePrefix_String","","Wed Jun 10 01:00:37 UTC 2026","passed","Wed Jun 10 01:00:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNodeNamePrefix_String","TestNodeNamePrefix_String"
"Test cases for TestRoleAssignments_NodesWithRole","0","TestRoleAssignments_NodesWithRole","","Wed Jun 10 01:00:37 UTC 2026","passed","Wed Jun 10 01:00:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestRoleAssignments_NodesWithRole","TestRoleAssignments_NodesWithRole"
"Test cases for TestBuildSQLFilter","1","TestBuildSQLFilter","","Wed Jun 10 01:00:13 UTC 2026","passed","Wed Jun 10 01:00:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestBuildSQLFilter","TestBuildSQLFilter"
