"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestBoolPointer","0","TestBoolPointer","","Tue Mar 24 20:05:21 UTC 2026","passed","Tue Mar 24 20:05:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolPointer","TestBoolPointer"
"","11","calls the provided notification method","handleError","Tue Mar 24 20:07:06 UTC 2026","passed","Tue Mar 24 20:07:06 UTC 2026","","","",""
"Test cases for TestTimeFromPtr","0","TestTimeFromPtr","","Tue Mar 24 20:05:21 UTC 2026","passed","Tue Mar 24 20:05:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFromPtr","TestTimeFromPtr"
"","91","buttons are disabled while loading","PasswordResetForm","Tue Mar 24 20:08:29 UTC 2026","passed","Tue Mar 24 20:08:29 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery_IDMalformed","0","TestResources_DeleteSavedQuery_IDMalformed","","Tue Mar 24 20:05:18 UTC 2026","passed","Tue Mar 24 20:05:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_IDMalformed","TestResources_DeleteSavedQuery_IDMalformed"
"Test cases for TestUnmarshalInt64","0","TestUnmarshalInt64","","Tue Mar 24 20:05:21 UTC 2026","passed","Tue Mar 24 20:05:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64","TestUnmarshalInt64"
"","763","opens and closes the filter","FileIngestFilterDialog","Tue Mar 24 20:07:05 UTC 2026","passed","Tue Mar 24 20:07:06 UTC 2026","","","",""
"","1","EXTENDED ROUNDING with different thresholds","numberFormatting","Tue Mar 24 20:08:48 UTC 2026","passed","Tue Mar 24 20:08:48 UTC 2026","","","",""
"","197","handles adding to non-tier-zero asset group","AssetGroupMenuItem","Tue Mar 24 20:11:24 UTC 2026","passed","Tue Mar 24 20:11:24 UTC 2026","","adding to an asset group","",""
"Test cases for TestParseSkipQueryParameter","0","TestParseSkipQueryParameter","","Tue Mar 24 20:05:18 UTC 2026","passed","Tue Mar 24 20:05:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter","TestParseSkipQueryParameter"
"Test cases for Test_SetNodeProperties","0","Test_SetNodeProperties","","Tue Mar 24 20:05:18 UTC 2026","passed","Tue Mar 24 20:05:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetNodeProperties","Test_SetNodeProperties"
"","1","EXTENDED ROUNDING when thresholds are set: returns a comma separated number when provided with a number > 999","numberFormatting","Tue Mar 24 20:08:48 UTC 2026","passed","Tue Mar 24 20:08:48 UTC 2026","","","",""
"","150","should render tag to Label content","TagToZoneLabelDialog","Tue Mar 24 20:08:52 UTC 2026","passed","Tue Mar 24 20:08:52 UTC 2026","","","",""
"","69","displays ! icon when one of the Affected Object calls fail","EntityInfoDataTableGraphed","Tue Mar 24 20:07:41 UTC 2026","passed","Tue Mar 24 20:07:41 UTC 2026","","Node count for nested table that counts all sections","",""
"","633","handles creating a new rule","Rule Form","Tue Mar 24 20:06:40 UTC 2026","passed","Tue Mar 24 20:06:41 UTC 2026","","","",""
"","29","renders custom icon overlap correctly","NodeIcon","Tue Mar 24 20:10:19 UTC 2026","passed","Tue Mar 24 20:10:19 UTC 2026","","","",""
"Test cases for TestResources_GetBaseEntityInfo","223","TestResources_GetBaseEntityInfo","","Tue Mar 24 20:05:18 UTC 2026","passed","Tue Mar 24 20:05:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetBaseEntityInfo","TestResources_GetBaseEntityInfo"
"Test cases for TestNewAuditLog_BadAuthContext","0","TestNewAuditLog_BadAuthContext","","Tue Mar 24 20:05:21 UTC 2026","passed","Tue Mar 24 20:05:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog_BadAuthContext","TestNewAuditLog_BadAuthContext"
"","228","renders correctly with requiresCurrentPassword true","PasswordDialog","Tue Mar 24 20:06:46 UTC 2026","passed","Tue Mar 24 20:06:46 UTC 2026","","","",""
"","198","renders with the Export and Delete buttons disabled","QuerySearchFilter","Tue Mar 24 20:09:03 UTC 2026","passed","Tue Mar 24 20:09:03 UTC 2026","","","",""
"Test cases for TestVersion_GreaterThan","0","TestVersion_GreaterThan","","Tue Mar 24 20:05:29 UTC 2026","passed","Tue Mar 24 20:05:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/version/TestVersion_GreaterThan","TestVersion_GreaterThan"
"","280","eventually displays a list of early access features when warning dialog is accepted","EarlyAccessFeatures","Tue Mar 24 20:11:44 UTC 2026","passed","Tue Mar 24 20:11:44 UTC 2026","","","",""
"","534","clears the applied filter","FileIngestFilterDialog","Tue Mar 24 20:07:07 UTC 2026","passed","Tue Mar 24 20:07:07 UTC 2026","","Status Select","",""
"","139","displays extensions in a table when data is available","ActiveExtensionsCard","Tue Mar 24 20:06:38 UTC 2026","passed","Tue Mar 24 20:06:38 UTC 2026","","","",""
"Test cases for TestResources_GetEdgeACLInheritancePath","87","TestResources_GetEdgeACLInheritancePath","","Tue Mar 24 20:05:18 UTC 2026","passed","Tue Mar 24 20:05:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeACLInheritancePath","TestResources_GetEdgeACLInheritancePath"
"","0","returns empty array when search does not match any environment","filterAndSearchEnvironments","Tue Mar 24 20:06:32 UTC 2026","passed","Tue Mar 24 20:06:32 UTC 2026","","search filter","",""
"","146","should display api key management button","Api Keys","Tue Mar 24 20:07:43 UTC 2026","passed","Tue Mar 24 20:07:43 UTC 2026","","","",""
"","1073","should display all available SSO providers","UpdateUserDialog","Tue Mar 24 20:06:54 UTC 2026","passed","Tue Mar 24 20:06:55 UTC 2026","","","",""
"Test cases for TestNodeNamePrefix_String","0","TestNodeNamePrefix_String","","Tue Mar 24 20:05:32 UTC 2026","passed","Tue Mar 24 20:05:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNodeNamePrefix_String","TestNodeNamePrefix_String"
"Test cases for TestManagementResource_SSOLoginHandler","7","TestManagementResource_SSOLoginHandler","","Tue Mar 24 20:05:56 UTC 2026","passed","Tue Mar 24 20:05:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SSOLoginHandler","TestManagementResource_SSOLoginHandler"
"","0","The data is fetching","Getting the text for the disabled item display for a search when there are no results","Tue Mar 24 20:08:53 UTC 2026","passed","Tue Mar 24 20:08:53 UTC 2026","","Loading states","",""
"","120","renders a ListItemActionMenu component","ListItemActionMenu","Tue Mar 24 20:09:26 UTC 2026","passed","Tue Mar 24 20:09:26 UTC 2026","","","",""
"","258","Selecting an edge with a Computer target node that does not have haslaps enabled shows correct Windows Abuse text","EdgeInfoContent","Tue Mar 24 20:06:37 UTC 2026","passed","Tue Mar 24 20:06:37 UTC 2026","","","",""
"","111","should not display a badge when role based filtering is true and show filter banner is false by default","EntityInfoPanel","Tue Mar 24 20:10:00 UTC 2026","passed","Tue Mar 24 20:10:00 UTC 2026","","","",""
"Test cases for TestResources_GetEnterpriseCAEntityInfo","242","TestResources_GetEnterpriseCAEntityInfo","","Tue Mar 24 20:05:18 UTC 2026","passed","Tue Mar 24 20:05:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEnterpriseCAEntityInfo","TestResources_GetEnterpriseCAEntityInfo"
"Test cases for TestGormLogAdapter_Info","0","TestGormLogAdapter_Info","","Tue Mar 24 20:05:21 UTC 2026","passed","Tue Mar 24 20:05:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestGormLogAdapter_Info","TestGormLogAdapter_Info"
"","22","upon performing a search, updates the url params with the base64-encoded current query and sets searchType to 'cypher'","useCypherSearch","Tue Mar 24 20:10:29 UTC 2026","passed","Tue Mar 24 20:10:29 UTC 2026","","","",""
"","562","should sort by type","SSOProviderTable","Tue Mar 24 20:09:31 UTC 2026","passed","Tue Mar 24 20:09:31 UTC 2026","","","",""
"","221","shows Popper when isCurrentSearchOpen is true","GraphControls","Tue Mar 24 20:07:03 UTC 2026","passed","Tue Mar 24 20:07:04 UTC 2026","","Searching current results","",""
"","111","passes check if the user has a required permission","usePermissions","Tue Mar 24 20:07:36 UTC 2026","passed","Tue Mar 24 20:07:36 UTC 2026","","","",""
"","488","shows success notification after successful deletion","ActiveExtensionsCard","Tue Mar 24 20:06:42 UTC 2026","passed","Tue Mar 24 20:06:42 UTC 2026","","","",""
"","3","A warning is printed when node positions are not available to apply from","applyNodePositionsFromGraphlibGraph","Tue Mar 24 20:11:54 UTC 2026","passed","Tue Mar 24 20:11:54 UTC 2026","","","",""
"","195","renders a snackbar notification in the dom and tests the long autoHideDuration","AppNotifications","Tue Mar 24 20:09:39 UTC 2026","passed","Tue Mar 24 20:09:39 UTC 2026","","","",""
"","248","a name value is required to submit the form","Rule Form","Tue Mar 24 20:06:39 UTC 2026","passed","Tue Mar 24 20:06:39 UTC 2026","","","",""
