"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","returns query config when searchType is composition and all required params are passed","useExploreGraph","Tue Feb 10 16:39:29 UTC 2026","passed","Tue Feb 10 16:39:29 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"","9","should not render a Field when the provided value is []","Field","Tue Feb 10 16:41:36 UTC 2026","passed","Tue Feb 10 16:41:36 UTC 2026","","","",""
"Test cases for Test_cacheQueryResult","2","Test_cacheQueryResult","","Tue Feb 10 16:36:51 UTC 2026","passed","Tue Feb 10 16:36:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_cacheQueryResult","Test_cacheQueryResult"
"Test cases for TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate","1","TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate","","Tue Feb 10 16:36:50 UTC 2026","passed","Tue Feb 10 16:36:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate","TestDomainSelectors_GetFilterCriteria_InvalidFilterPredicate"
"","636","should display Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and read-only role is selected","UpdateUserForm","Tue Feb 10 16:37:57 UTC 2026","passed","Tue Feb 10 16:37:57 UTC 2026","","","",""
"","61","populates the node search field when the 'primarySearch' query param is set","useNodeSearch","Tue Feb 10 16:41:10 UTC 2026","passed","Tue Feb 10 16:41:10 UTC 2026","","","",""
"Test cases for TestTextUnmarshalString","0","TestTextUnmarshalString","","Tue Feb 10 16:36:49 UTC 2026","passed","Tue Feb 10 16:36:49 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalString","TestTextUnmarshalString"
"","300","prevents a user from proceeding if the file is not valid","ImportQueryDialog","Tue Feb 10 16:41:57 UTC 2026","passed","Tue Feb 10 16:41:57 UTC 2026","","","",""
"","6","returns a date string only if passed a string with a matching key","Formatting strings via formatPrimive","Tue Feb 10 16:39:03 UTC 2026","passed","Tue Feb 10 16:39:03 UTC 2026","","","",""
"Test cases for TestEncodingValues","1","TestEncodingValues","","Tue Feb 10 16:37:00 UTC 2026","passed","Tue Feb 10 16:37:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingValues","TestEncodingValues"
"","0","shows no collection methods","toCollected","Tue Feb 10 16:41:42 UTC 2026","passed","Tue Feb 10 16:41:42 UTC 2026","","","",""
"Test cases for TestManagementResource_GetAZEntity","124","TestManagementResource_GetAZEntity","","Tue Feb 10 16:36:43 UTC 2026","passed","Tue Feb 10 16:36:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestManagementResource_GetAZEntity","TestManagementResource_GetAZEntity"
"","650","should not allow the input to exceed the allowed length","CreateUserForm","Tue Feb 10 16:38:20 UTC 2026","passed","Tue Feb 10 16:38:21 UTC 2026","","","",""
"Test cases for TestGC_Name","0","TestGC_Name","","Tue Feb 10 16:36:47 UTC 2026","passed","Tue Feb 10 16:36:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/gc/TestGC_Name","TestGC_Name"
"Test cases for TestResources_PreviewSelectors","4","TestResources_PreviewSelectors","","Tue Feb 10 16:36:43 UTC 2026","passed","Tue Feb 10 16:36:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_PreviewSelectors","TestResources_PreviewSelectors"
"Test cases for Test_HarnessTeardown","0","Test_HarnessTeardown","","Tue Feb 10 16:37:01 UTC 2026","passed","Tue Feb 10 16:37:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_HarnessTeardown","Test_HarnessTeardown"
"","64","populates the source and destination node fields when query params are passed","usePathfindingSearch","Tue Feb 10 16:39:41 UTC 2026","passed","Tue Feb 10 16:39:42 UTC 2026","","","",""
"Test cases for TestInt64Equal","0","TestInt64Equal","","Tue Feb 10 16:36:49 UTC 2026","passed","Tue Feb 10 16:36:49 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64Equal","TestInt64Equal"
"","243","toggles parent from none to all","SourceKindsCheckboxes","Tue Feb 10 16:39:28 UTC 2026","passed","Tue Feb 10 16:39:28 UTC 2026","","","",""
"","0","does not abbreviate numbers < 1000","numberFormatting","Tue Feb 10 16:41:53 UTC 2026","passed","Tue Feb 10 16:41:53 UTC 2026","","","",""
"Test cases for TestSignRequestValuesSuccess","0","TestSignRequestValuesSuccess","","Tue Feb 10 16:36:35 UTC 2026","passed","Tue Feb 10 16:36:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestValuesSuccess","TestSignRequestValuesSuccess"
"Test cases for TestMap","0","TestMap","","Tue Feb 10 16:37:02 UTC 2026","passed","Tue Feb 10 16:37:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestMap","TestMap"
