"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104","should call onCancel when cancel button clicked","LoginViaSSOForm","Fri Jul 17 20:16:06 UTC 2026","passed","Fri Jul 17 20:16:06 UTC 2026","","","",""
"Test cases for TestResources_BuildDeleteRequest","0","TestResources_BuildDeleteRequest","","Fri Jul 17 20:10:13 UTC 2026","passed","Fri Jul 17 20:10:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_BuildDeleteRequest","TestResources_BuildDeleteRequest"
"","279","handles creating a new label","Tag Form","Fri Jul 17 20:12:12 UTC 2026","passed","Fri Jul 17 20:12:12 UTC 2026","","","",""
"","771","open and closes dialog with confirm button after user inputs required text","Tag Form","Fri Jul 17 20:12:14 UTC 2026","passed","Fri Jul 17 20:12:15 UTC 2026","","","",""
"Test cases for Test_HarnessSetup","0","Test_HarnessSetup","","Fri Jul 17 20:10:34 UTC 2026","passed","Fri Jul 17 20:10:34 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_HarnessSetup","Test_HarnessSetup"
"","1038","should call onSubmit with password when reset password button clicked","PasswordResetForm","Fri Jul 17 20:15:12 UTC 2026","passed","Fri Jul 17 20:15:13 UTC 2026","","","",""
"Test cases for TestManagementResource_ListPermissions_InvalidFilterPredicate","2","TestManagementResource_ListPermissions_InvalidFilterPredicate","","Fri Jul 17 20:10:19 UTC 2026","passed","Fri Jul 17 20:10:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_InvalidFilterPredicate","TestManagementResource_ListPermissions_InvalidFilterPredicate"
"","769","switches Rule tab to active/selected when clicked","Selected Details Tabs","Fri Jul 17 20:14:55 UTC 2026","passed","Fri Jul 17 20:14:56 UTC 2026","","Selected Details Tabs - Click Interactions","",""
"Test cases for TestFloatFrom","0","TestFloatFrom","","Fri Jul 17 20:10:17 UTC 2026","passed","Fri Jul 17 20:10:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFrom","TestFloatFrom"
"Test cases for TestExtractIngestFiles","14","TestExtractIngestFiles","","Fri Jul 17 20:10:23 UTC 2026","passed","Fri Jul 17 20:10:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestExtractIngestFiles","TestExtractIngestFiles"
"Test cases for TestStore_GetFlagByKey","4","TestStore_GetFlagByKey","","Fri Jul 17 20:10:44 UTC 2026","passed","Fri Jul 17 20:10:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/appdb/TestStore_GetFlagByKey","TestStore_GetFlagByKey"
"Test cases for TestResources_GetContainerEntityInfo","210","TestResources_GetContainerEntityInfo","","Fri Jul 17 20:10:13 UTC 2026","passed","Fri Jul 17 20:10:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetContainerEntityInfo","TestResources_GetContainerEntityInfo"
"","36","should display the checkbox group title","Checkbox group","Fri Jul 17 20:17:30 UTC 2026","passed","Fri Jul 17 20:17:30 UTC 2026","","","",""
"","248","sets secondarySearch=id and searchType=node when primarySearch is falsey","ContextMenu","Fri Jul 17 20:14:06 UTC 2026","passed","Fri Jul 17 20:14:06 UTC 2026","","","",""
"","13","returns active-directory environmentInfo when environmentAggregation param is active-directory","useAvailableEnvironments","Fri Jul 17 20:15:10 UTC 2026","passed","Fri Jul 17 20:15:10 UTC 2026","","useSelectedEnvironment","",""
"Test cases for TestTimeFrom","0","TestTimeFrom","","Fri Jul 17 20:10:17 UTC 2026","passed","Fri Jul 17 20:10:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFrom","TestTimeFrom"
"","7","clears sort state","useSortParams","Fri Jul 17 20:16:04 UTC 2026","passed","Fri Jul 17 20:16:04 UTC 2026","","","",""
"Test cases for TestGC_NewDataPruningDaemon","0","TestGC_NewDataPruningDaemon","","Fri Jul 17 20:10:15 UTC 2026","passed","Fri Jul 17 20:10:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/gc/TestGC_NewDataPruningDaemon","TestGC_NewDataPruningDaemon"
"Test cases for TestMaybeSubmitRelationshipUpdate","0","TestMaybeSubmitRelationshipUpdate","","Fri Jul 17 20:10:23 UTC 2026","passed","Fri Jul 17 20:10:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestMaybeSubmitRelationshipUpdate","TestMaybeSubmitRelationshipUpdate"
"Test cases for TestResources_GetAssetGroup","0","TestResources_GetAssetGroup","","Fri Jul 17 20:10:13 UTC 2026","passed","Fri Jul 17 20:10:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroup","TestResources_GetAssetGroup"
"Test cases for TestCreateRuntimeDependenciesInitializesDefaultFileServices","0","TestCreateRuntimeDependenciesInitializesDefaultFileServices","","Fri Jul 17 20:10:21 UTC 2026","passed","Fri Jul 17 20:10:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/TestCreateRuntimeDependenciesInitializesDefaultFileServices","TestCreateRuntimeDependenciesInitializesDefaultFileServices"
"","579","should render the cypher search controls when user clicks on cypher tab","ExploreSearch rendering per tab","Fri Jul 17 20:18:25 UTC 2026","passed","Fri Jul 17 20:18:26 UTC 2026","","","",""
"Test cases for TestDummyHA","0","TestDummyHA","","Fri Jul 17 20:10:15 UTC 2026","passed","Fri Jul 17 20:10:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestDummyHA","TestDummyHA"
"","18","displays a status label","StatusIndicator","Fri Jul 17 20:17:42 UTC 2026","passed","Fri Jul 17 20:17:42 UTC 2026","","","",""
"Test cases for TestResources_CreateSavedQuery_NotAUserAuth","0","TestResources_CreateSavedQuery_NotAUserAuth","","Fri Jul 17 20:10:14 UTC 2026","passed","Fri Jul 17 20:10:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_NotAUserAuth","TestResources_CreateSavedQuery_NotAUserAuth"
"","612","does not display must be new password error messages when current password is not required","PasswordDialog","Fri Jul 17 20:13:03 UTC 2026","passed","Fri Jul 17 20:13:03 UTC 2026","","","",""
"","14","renders highlight only for active member when memberId is present","SelectedHighlight","Fri Jul 17 20:16:50 UTC 2026","passed","Fri Jul 17 20:16:50 UTC 2026","","","",""
"Test cases for TestGetDataQualityStats_Success","4","TestGetDataQualityStats_Success","","Fri Jul 17 20:10:13 UTC 2026","passed","Fri Jul 17 20:10:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetDataQualityStats_Success","TestGetDataQualityStats_Success"
"Test cases for TestFillAndPopulateDefaultAdminInfo","1","TestFillAndPopulateDefaultAdminInfo","","Fri Jul 17 20:10:14 UTC 2026","passed","Fri Jul 17 20:10:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/bootstrap/TestFillAndPopulateDefaultAdminInfo","TestFillAndPopulateDefaultAdminInfo"
"Test cases for TestResources_ListExtensions","64","TestResources_ListExtensions","","Fri Jul 17 20:10:13 UTC 2026","passed","Fri Jul 17 20:10:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListExtensions","TestResources_ListExtensions"
"","481","when a search result is clicked it calls `handleNodeSelected`","ExploreSearchCombobox","Fri Jul 17 20:14:26 UTC 2026","passed","Fri Jul 17 20:14:26 UTC 2026","","","",""
"Test cases for TestFloatFromPtr","0","TestFloatFromPtr","","Fri Jul 17 20:10:17 UTC 2026","passed","Fri Jul 17 20:10:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFromPtr","TestFloatFromPtr"
"","275","renders headers","CommonSearches","Fri Jul 17 20:14:22 UTC 2026","passed","Fri Jul 17 20:14:22 UTC 2026","","","",""
"Test cases for TestIntSetValid","0","TestIntSetValid","","Fri Jul 17 20:10:17 UTC 2026","passed","Fri Jul 17 20:10:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntSetValid","TestIntSetValid"
"","1","filters by critical risk level","filterAndSearchEnvironments","Fri Jul 17 20:12:35 UTC 2026","passed","Fri Jul 17 20:12:35 UTC 2026","","risk filters","",""
