"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","removes both filter parameters when setting the configured default selection","useMultiValueFilterParams","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestStore_GetDatapipeStatus","5","TestStore_GetDatapipeStatus","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/server/appcfg/internal/appdb/TestStore_GetDatapipeStatus","TestStore_GetDatapipeStatus"
"","11","function should return 1 when first param is larger, no matter the data type","Compare function for explore table sort","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestManagementResource_DeleteSAMLProvider","1","TestManagementResource_DeleteSAMLProvider","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteSAMLProvider","TestManagementResource_DeleteSAMLProvider"
"","307","calls onChangePinnedColumns to unpin a column when its pin icon is clicked","ManageColumnsComboBox","2026-09-02","passed","2026-09-02","","","",""
"","592","calls handleFilterChange when a node type is selected","AssetGroupEdit","2026-09-02","passed","2026-09-02","","Node Type dropdown filter","",""
"","237","onCancel is called when cancel is clicked","Enable2FADialog","2026-09-02","passed","2026-09-02","","","",""
"","84","should not display the ETAC role-based filtering badge when filtering is disabled","Zone Management","2026-09-02","passed","2026-09-02","","","",""
"","573","runs the query and calls dispatch to set the node results","PrivilegeZonesCypherEditor Search component for Zone Management","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestManagementResource_DeleteUser_Success","1095","TestManagementResource_DeleteUser_Success","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_Success","TestManagementResource_DeleteUser_Success"
"","1","should return the edge parts from the key","getEdgeDataFromKey","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestDefineSID","0","TestDefineSID","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestDefineSID","TestDefineSID"
"","0","A type was provided but no keyword follows the typed filter","Getting the text for the disabled item display for a search when there are no results","2026-09-02","passed","2026-09-02","","Empty data states","",""
"","3237","Kebab menu click causes the callback function to be called with the correct parameters","ExploreTable","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestAddWhereClauseToNeo4jQuery_NoWhereClause","0","TestAddWhereClauseToNeo4jQuery_NoWhereClause","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddWhereClauseToNeo4jQuery_NoWhereClause","TestAddWhereClauseToNeo4jQuery_NoWhereClause"
"Test cases for TestTagScanner_NextTopLevelTag","0","TestTagScanner_NextTopLevelTag","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestTagScanner_NextTopLevelTag","TestTagScanner_NextTopLevelTag"
"","2","updates state when an external storage event is fired for the same key","useLocalStorage","2026-09-02","passed","2026-09-02","","storage event synchronisation","",""
"","274","Trying to view the edge info does not crash the app when selecting an unrecognized edge","EdgeInfoContent","2026-09-02","passed","2026-09-02","","","",""
"","1362","renders asset group edit options with graph write permissions","ContextMenu","2026-09-02","passed","2026-09-02","","","",""
"Test cases for Test_sortAndSliceResults_sorting","0","Test_sortAndSliceResults_sorting","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_sortAndSliceResults_sorting","Test_sortAndSliceResults_sorting"
"Test cases for TestStore_GetKindInfos","0","TestStore_GetKindInfos","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/server/extensions/internal/appdb/TestStore_GetKindInfos","TestStore_GetKindInfos"
"Test cases for TestLocalStore_Copy","67","TestLocalStore_Copy","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Copy","TestLocalStore_Copy"
"","138","renders correctly","NodeIcon","2026-09-02","passed","2026-09-02","","","",""
"","101","should display the ""Authentication"" header","UserProfile","2026-09-02","passed","2026-09-02","","","",""
"","11","displays lastlogon cell as NEVER when the value is -1","ExploreTableDataCell","2026-09-02","passed","2026-09-02","","","",""
"","145","renders the selected query in the cypher editor when editing a query that differs from the active cypher search","SaveQueryDialog","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestResources_ListADCSEscalations","0","TestResources_ListADCSEscalations","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADCSEscalations","TestResources_ListADCSEscalations"
"","3","determines glyphs with the tier_managent_engine feature flag disabled","getNodeGlyphs","2026-09-02","passed","2026-09-02","","","",""
"","0","returns false for arrays with different object references","areArraysSimilar","2026-09-02","passed","2026-09-02","","","",""
"","679","displays the default ""No notes"" tooltip when the note is missing and actor is not BloodHound","NoteCell component","2026-09-02","passed","2026-09-02","","","",""
"","68","returns the first display kind when multiple display kinds are present","usePrimaryKind","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestManagementResource_GetSelf","0","TestManagementResource_GetSelf","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetSelf","TestManagementResource_GetSelf"
"","701","calls delete mutation when confirm button is clicked with correct input","ActiveExtensionsCard","2026-09-02","passed","2026-09-02","","","",""
"","11","renders without label when label is empty string","StatusIndicator","2026-09-02","passed","2026-09-02","","","",""
"","82","renders the title","ProcessingIndicator","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestHandlers_GetAllFlags","3","TestHandlers_GetAllFlags","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/handlers/TestHandlers_GetAllFlags","TestHandlers_GetAllFlags"
"","906","should display all available roles","UpdateUserDialog","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestConvertOUToNode_InheritanceHashes","0","TestConvertOUToNode_InheritanceHashes","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertOUToNode_InheritanceHashes","TestConvertOUToNode_InheritanceHashes"
"Test cases for TestSaveDataQuality","8","TestSaveDataQuality","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/dataquality/TestSaveDataQuality","TestSaveDataQuality"
"","894","sets exploreSearchTab param to cypher when the user clicks the `cypher` tab","ExploreSearch sets searchType on tab changing","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestFloatFromPtr","0","TestFloatFromPtr","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFromPtr","TestFloatFromPtr"
"","0","The node radius is adjusted to take into account the current camera zoom ratio","getNodeRadius","2026-09-02","passed","2026-09-02","","","",""
"","381","should display CreateUserTokenDialog","UserTokenManagementDialog","2026-09-02","passed","2026-09-02","","when user clicks ""Create Token"" button","",""
"Test cases for TestOrphanFileSweeper_ClearStoredIngestFilesNormalizesListedPaths","24","TestOrphanFileSweeper_ClearStoredIngestFilesNormalizesListedPaths","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestOrphanFileSweeper_ClearStoredIngestFilesNormalizesListedPaths","TestOrphanFileSweeper_ClearStoredIngestFilesNormalizesListedPaths"
"Test cases for TestTimePointer","0","TestTimePointer","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimePointer","TestTimePointer"
"TestCountAssertions verifies that countAssertions counts every <Assertion> and <EncryptedAssertion>in the SAML assertion namespace, counting from the raw XML because crewjam's saml.Response only keeps one assertion.","4","TestCountAssertions","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/saml/TestCountAssertions","TestCountAssertions"
"","8","hides items while permissions are loading","useSubNavRoutes","2026-09-02","passed","2026-09-02","","permissions gate","",""
"TestCalculateSAMLTimeExpiry verifies that CalculateSAMLTimeExpiry returns whichever IssueInstant + MaxIssueDelay is later.","0","TestCalculateSAMLTimeExpiry","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/saml/TestCalculateSAMLTimeExpiry","TestCalculateSAMLTimeExpiry"
"","2","Edge is created with correct structure including points array","copySigmaEdgesToGraphlibGraph","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestParseFilterOperator","0","TestParseFilterOperator","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/packages/go/params/TestParseFilterOperator","TestParseFilterOperator"
"","245","enables the create provider button for a user with the admin role","SSOConfiguration","2026-09-02","passed","2026-09-02","","","",""
"","18","calls onDataError and renders nothing when the aggregation request fails","OpenGraphPlatformInfo","2026-09-02","passed","2026-09-02","","","",""
"","140","should call onCancel when return to login button clicked","PasswordResetForm","2026-09-02","passed","2026-09-02","","","",""
"","2","does not add optional filters if not present","createHistoryParams","2026-09-02","passed","2026-09-02","","","",""
"","213","displays appropriate text when there are no matches for search term","SearchCurrentNodes","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestMarkdownValidator_Policy","5","TestMarkdownValidator_Policy","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestMarkdownValidator_Policy","TestMarkdownValidator_Policy"
"Test cases for TestDatabase_checkError_OtherError","0","TestDatabase_checkError_OtherError","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestDatabase_checkError_OtherError","TestDatabase_checkError_OtherError"
"","1046","should render","ExploreSearch rendering per tab","2026-09-02","passed","2026-09-02","","","",""
"","17","throws when used outside of AnnouncementProvider","useAnnounce","2026-09-02","passed","2026-09-02","","","",""
"","1","runs a cypher search when the query param is set to ""cypher""","useExploreGraph","2026-09-02","passed","2026-09-02","","exploreGraphQueryFactory","",""
"","0","returns false if value is {}","searchParams","2026-09-02","passed","2026-09-02","","isEmptyParam","",""
"Test cases for TestIntIsZero","0","TestIntIsZero","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntIsZero","TestIntIsZero"
"Test cases for TestManagementResource_UpdateUser_DBError","1281","TestManagementResource_UpdateUser_DBError","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_DBError","TestManagementResource_UpdateUser_DBError"
"Test cases for TestWriteBasicResponse","0","TestWriteBasicResponse","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteBasicResponse","TestWriteBasicResponse"
"","259","reverts all menu options to an unselected state when isExploreLayoutSelected becomes false","GraphControls","2026-09-02","passed","2026-09-02","","Selecting a layout","",""
"Test cases for TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus","0","TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus","TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus"
"Test cases for TestUnmarshalInt64","0","TestUnmarshalInt64","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64","TestUnmarshalInt64"
"","576","should render list of available SSO providers","LoginViaSSOForm","2026-09-02","passed","2026-09-02","","","",""
"Test cases for TestService_GetPermission","0","TestService_GetPermission","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/server/identity/internal/services/TestService_GetPermission","TestService_GetPermission"
"Test cases for TestErrorReadDomainSIDandNameAsString","0","TestErrorReadDomainSIDandNameAsString","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/internal/nodeprops/TestErrorReadDomainSIDandNameAsString","TestErrorReadDomainSIDandNameAsString"
"Test cases for TestNewRewriter","0","TestNewRewriter","","2026-09-02","passed","2026-09-02","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestNewRewriter","TestNewRewriter"
