"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","returns the node_keys from the graphData with duplicate keys removed and known keys added","getExploreTableData","Tue Apr 21 20:37:39 UTC 2026","passed","Tue Apr 21 20:37:39 UTC 2026","","","",""
"Test cases for TestBOMEncoding","0","TestBOMEncoding","","Tue Apr 21 20:34:12 UTC 2026","passed","Tue Apr 21 20:34:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestBOMEncoding","TestBOMEncoding"
"","284","should render an SavedQueryPermissions component","SaveQueryDialog","Tue Apr 21 20:34:57 UTC 2026","passed","Tue Apr 21 20:34:58 UTC 2026","","","",""
"","382","Displays a modal after clicking Analyze Now button and run analysis after clicking confirm","AnalyzeNowConfiguration","Tue Apr 21 20:36:47 UTC 2026","passed","Tue Apr 21 20:36:47 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_SelfDisable","652","TestManagementResource_UpdateUser_SelfDisable","","Tue Apr 21 20:34:07 UTC 2026","passed","Tue Apr 21 20:34:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_SelfDisable","TestManagementResource_UpdateUser_SelfDisable"
"Test cases for TestParseClientVersion","0","TestParseClientVersion","","Tue Apr 21 20:34:11 UTC 2026","passed","Tue Apr 21 20:34:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestParseClientVersion","TestParseClientVersion"
"","0","returns empty array when environments is undefined","filterAndSearchEnvironments","Tue Apr 21 20:35:08 UTC 2026","passed","Tue Apr 21 20:35:08 UTC 2026","","with empty environments","",""
"","166","shows ""<10 Days to Expire"" warning when token expires within 10 days","UserTokenManagementDialog - API Expiration Date column","Tue Apr 21 20:36:03 UTC 2026","passed","Tue Apr 21 20:36:03 UTC 2026","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","0","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","","Tue Apr 21 20:33:50 UTC 2026","passed","Tue Apr 21 20:33:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors"
"","62","returns a list of the users current permissions","usePermissions","Tue Apr 21 20:36:28 UTC 2026","passed","Tue Apr 21 20:36:28 UTC 2026","","","",""
"Test cases for TestResources_ListADEntityRDPRights","1","TestResources_ListADEntityRDPRights","","Tue Apr 21 20:33:50 UTC 2026","passed","Tue Apr 21 20:33:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityRDPRights","TestResources_ListADEntityRDPRights"
"Test cases for TestResources_ListADDomainDCSyncers","5","TestResources_ListADDomainDCSyncers","","Tue Apr 21 20:33:50 UTC 2026","passed","Tue Apr 21 20:33:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainDCSyncers","TestResources_ListADDomainDCSyncers"
"Test cases for TestBoolFrom","0","TestBoolFrom","","Tue Apr 21 20:33:52 UTC 2026","passed","Tue Apr 21 20:33:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolFrom","TestBoolFrom"
"Test cases for TestResources_SearchAssetGroupTagHistory","110","TestResources_SearchAssetGroupTagHistory","","Tue Apr 21 20:33:50 UTC 2026","passed","Tue Apr 21 20:33:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchAssetGroupTagHistory","TestResources_SearchAssetGroupTagHistory"
"","10","displays lastlogontimestamp cell as UNKNOWN when the value is 0","ExploreTableDataCell","Tue Apr 21 20:39:03 UTC 2026","passed","Tue Apr 21 20:39:03 UTC 2026","","","",""
"","205","displays loading state","SourceKindsCheckboxes","Tue Apr 21 20:37:06 UTC 2026","passed","Tue Apr 21 20:37:07 UTC 2026","","","",""
"","104","Disable Analyze Now and change to Analyzing if datapipe status is different from ""idle""","AnalyzeNowConfiguration","Tue Apr 21 20:36:47 UTC 2026","passed","Tue Apr 21 20:36:47 UTC 2026","","","",""
"","8","renders the LabelSelector when available and on a Label page","TagSelector","Tue Apr 21 20:37:57 UTC 2026","passed","Tue Apr 21 20:37:57 UTC 2026","","","",""
"","217","a name value is required to submit the form","Tag Form","Tue Apr 21 20:34:55 UTC 2026","passed","Tue Apr 21 20:34:56 UTC 2026","","","",""
"Test cases for TestURLJoinPathNoPrefix","0","TestURLJoinPathNoPrefix","","Tue Apr 21 20:33:40 UTC 2026","passed","Tue Apr 21 20:33:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestURLJoinPathNoPrefix","TestURLJoinPathNoPrefix"
"Test cases for Test_UseHarness","1","Test_UseHarness","","Tue Apr 21 20:34:13 UTC 2026","passed","Tue Apr 21 20:34:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_UseHarness","Test_UseHarness"
"","417","renders a non-primary button as expected","DropdownSelector","Tue Apr 21 20:38:28 UTC 2026","passed","Tue Apr 21 20:38:29 UTC 2026","","","",""
"","172","Verify Vault Reader count is the count returned by All Readers","EntityInfoDataTableGraphed","Tue Apr 21 20:36:33 UTC 2026","passed","Tue Apr 21 20:36:33 UTC 2026","","Node count for Vault Readers nested table","",""
"","517","Displays the selectors list if passed in through additional sections","EntityInfoDataTableList","Tue Apr 21 20:37:43 UTC 2026","passed","Tue Apr 21 20:37:44 UTC 2026","","","",""
"","950","open and closes dialog","DatabaseManagement","Tue Apr 21 20:40:22 UTC 2026","passed","Tue Apr 21 20:40:23 UTC 2026","","","",""
"Test cases for TestResources_DeleteAssetGroupSelector","0","TestResources_DeleteAssetGroupSelector","","Tue Apr 21 20:33:50 UTC 2026","passed","Tue Apr 21 20:33:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteAssetGroupSelector","TestResources_DeleteAssetGroupSelector"
"","677","renders a primary button as expected","DropdownSelector","Tue Apr 21 20:38:27 UTC 2026","passed","Tue Apr 21 20:38:28 UTC 2026","","","",""
"","7","does not render when selector is default","Delete Selector Button rendering","Tue Apr 21 20:39:24 UTC 2026","passed","Tue Apr 21 20:39:24 UTC 2026","","","",""
"Test cases for TestExpireUserAuthSecret_Failure","0","TestExpireUserAuthSecret_Failure","","Tue Apr 21 20:33:56 UTC 2026","passed","Tue Apr 21 20:33:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestExpireUserAuthSecret_Failure","TestExpireUserAuthSecret_Failure"
"Test cases for TestIngestionCoordinator_FlushBuffer","1","TestIngestionCoordinator_FlushBuffer","","Tue Apr 21 20:33:52 UTC 2026","passed","Tue Apr 21 20:33:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestIngestionCoordinator_FlushBuffer","TestIngestionCoordinator_FlushBuffer"
"Test cases for TestResources_ProcessIngestTask","2","TestResources_ProcessIngestTask","","Tue Apr 21 20:33:50 UTC 2026","passed","Tue Apr 21 20:33:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ProcessIngestTask","TestResources_ProcessIngestTask"
"","22","does not show the dropdown by default","ManageColumnsComboBox","Tue Apr 21 20:36:09 UTC 2026","passed","Tue Apr 21 20:36:09 UTC 2026","","","",""
"","100","should have a .z-nav class","MainNav","Tue Apr 21 20:36:44 UTC 2026","passed","Tue Apr 21 20:36:44 UTC 2026","","","",""
"Test cases for TestArgon2Digest_Validate","0","TestArgon2Digest_Validate","","Tue Apr 21 20:34:12 UTC 2026","passed","Tue Apr 21 20:34:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2Digest_Validate","TestArgon2Digest_Validate"
"Test cases for TestFloatFromPtr","0","TestFloatFromPtr","","Tue Apr 21 20:33:52 UTC 2026","passed","Tue Apr 21 20:33:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFromPtr","TestFloatFromPtr"
"Test cases for Test_FixtureSetup","0","Test_FixtureSetup","","Tue Apr 21 20:34:13 UTC 2026","passed","Tue Apr 21 20:34:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_FixtureSetup","Test_FixtureSetup"
"","2","returns all environments when no filters are active","filterAndSearchEnvironments","Tue Apr 21 20:35:08 UTC 2026","passed","Tue Apr 21 20:35:08 UTC 2026","","with no filters applied","",""
"","11","should render when search string is not found in the text","HighlightedText","Tue Apr 21 20:39:01 UTC 2026","passed","Tue Apr 21 20:39:01 UTC 2026","","","",""
"","236","displays error if delete button is clicked when no checkbox is selected","DatabaseManagement","Tue Apr 21 20:40:21 UTC 2026","passed","Tue Apr 21 20:40:21 UTC 2026","","","",""
"","19","will update the selected filters based on the values stored in query params when the initialize function is called","usePathfindingFilters","Tue Apr 21 20:39:09 UTC 2026","passed","Tue Apr 21 20:39:09 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_InvalidFilterPredicate","0","TestManagementResource_ListAuthTokens_InvalidFilterPredicate","","Tue Apr 21 20:34:17 UTC 2026","passed","Tue Apr 21 20:34:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_InvalidFilterPredicate","TestManagementResource_ListAuthTokens_InvalidFilterPredicate"
"Test cases for TestUnmarshalInt64Overflow","0","TestUnmarshalInt64Overflow","","Tue Apr 21 20:33:52 UTC 2026","passed","Tue Apr 21 20:33:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64Overflow","TestUnmarshalInt64Overflow"
"","1","filters by low risk level","filterAndSearchEnvironments","Tue Apr 21 20:35:08 UTC 2026","passed","Tue Apr 21 20:35:08 UTC 2026","","risk filters","",""
"","316","does fires TagToLabelDialog when the Label option is clicked","TagToZoneLabel","Tue Apr 21 20:35:05 UTC 2026","passed","Tue Apr 21 20:35:06 UTC 2026","","","",""
"Test cases for TestArgon2_Digest","0","TestArgon2_Digest","","Tue Apr 21 20:34:12 UTC 2026","passed","Tue Apr 21 20:34:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2_Digest","TestArgon2_Digest"
