"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","EXTENDED ROUNDING when thresholds are set: does not abbreviate numbers < 10000","numberFormatting","Tue Mar 17 21:14:07 UTC 2026","passed","Tue Mar 17 21:14:07 UTC 2026","","","",""
"Test cases for TestManagementResource_ListRoles_InvalidColumn","0","TestManagementResource_ListRoles_InvalidColumn","","Tue Mar 17 21:10:40 UTC 2026","passed","Tue Mar 17 21:10:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_InvalidColumn","TestManagementResource_ListRoles_InvalidColumn"
"","62","enables filtering out for tags that are treated as Labels (including Owned)","the useAssetGroupTags utilities","Tue Mar 17 21:12:38 UTC 2026","passed","Tue Mar 17 21:12:38 UTC 2026","","","",""
"","272","displays a Filters button","FileIngest","Tue Mar 17 21:15:20 UTC 2026","passed","Tue Mar 17 21:15:20 UTC 2026","","","",""
"","6033","checking a single edge type updates its parent and grandparent","Pathfinding","Tue Mar 17 21:13:35 UTC 2026","passed","Tue Mar 17 21:13:41 UTC 2026","","","",""
"","42","does not render count for a selected zone if prop is not set","DynamicDetails","Tue Mar 17 21:13:09 UTC 2026","passed","Tue Mar 17 21:13:09 UTC 2026","","","",""
"","0","filters by critical risk level","filterAndSearchEnvironments","Tue Mar 17 21:11:59 UTC 2026","passed","Tue Mar 17 21:11:59 UTC 2026","","risk filters","",""
"","62","passes checks if the user has multiple required permissions","usePermissions","Tue Mar 17 21:12:56 UTC 2026","passed","Tue Mar 17 21:12:56 UTC 2026","","","",""
"","60","Error handling for fetching edge information","EdgeObjectInformation","Tue Mar 17 21:14:20 UTC 2026","passed","Tue Mar 17 21:14:20 UTC 2026","","","",""
"Test cases for TestStringEqual","0","TestStringEqual","","Tue Mar 17 21:10:39 UTC 2026","passed","Tue Mar 17 21:10:39 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringEqual","TestStringEqual"
"Test cases for TestResources_CreateCustomNodeKindsTest","66","TestResources_CreateCustomNodeKindsTest","","Tue Mar 17 21:10:35 UTC 2026","passed","Tue Mar 17 21:10:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateCustomNodeKindsTest","TestResources_CreateCustomNodeKindsTest"
"","137","renders enabled Zone tab and disabled Rule and Object tabs","Selected Details Tabs","Tue Mar 17 21:13:19 UTC 2026","passed","Tue Mar 17 21:13:19 UTC 2026","","Selected Details Tabs - Params present","",""
"Test cases for TestResources_GetOUEntityInfo","0","TestResources_GetOUEntityInfo","","Tue Mar 17 21:10:35 UTC 2026","passed","Tue Mar 17 21:10:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetOUEntityInfo","TestResources_GetOUEntityInfo"
"Test cases for TestResources_ListAuditLogs_OnlyOffset","0","TestResources_ListAuditLogs_OnlyOffset","","Tue Mar 17 21:10:35 UTC 2026","passed","Tue Mar 17 21:10:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_OnlyOffset","TestResources_ListAuditLogs_OnlyOffset"
"","424","renders no asset group edit options without graph write permissions","ContextMenu","Tue Mar 17 21:16:47 UTC 2026","passed","Tue Mar 17 21:16:48 UTC 2026","","","",""
