"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestResources_ExportSavedQueries","12","TestResources_ExportSavedQueries","","2026-08-24","passed","2026-08-24","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ExportSavedQueries","TestResources_ExportSavedQueries"
"","3","does not overwrite an existing localStorage value with initialValue","useLocalStorage","2026-08-24","passed","2026-08-24","","initial value","",""
"Test cases for Test_AuthMiddleware","0","Test_AuthMiddleware","","2026-08-24","passed","2026-08-24","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/Test_AuthMiddleware","Test_AuthMiddleware"
"Test cases for Test_PrimaryDisplayKinds_Add","0","Test_PrimaryDisplayKinds_Add","","2026-08-24","passed","2026-08-24","","Go Test","github.com/specterops/bloodhound/packages/go/graphschema/Test_PrimaryDisplayKinds_Add","Test_PrimaryDisplayKinds_Add"
"","1012","constrains long zone names to the select width","Privilege Zones History Filter Dialog","2026-08-24","passed","2026-08-24","","","",""
"Test cases for TestManagementResource_GetAZEntity","96","TestManagementResource_GetAZEntity","","2026-08-24","passed","2026-08-24","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestManagementResource_GetAZEntity","TestManagementResource_GetAZEntity"
"","5866","collapse all button collapses all sections","Pathfinding","2026-08-24","passed","2026-08-24","","","",""
"","0","returns true if value is ''","searchParams","2026-08-24","passed","2026-08-24","","isEmptyParam","",""
"","0","returns an empty array for an all selection when there are no options","getValuesFromSelection","2026-08-24","passed","2026-08-24","","","",""
"","505","should not allow leading or trailing empty spaces","CreateUserForm","2026-08-24","passed","2026-08-24","","","",""
"","187","The edge properties are fetched through the relationship endpoint which includes lastseen","EdgeObjectInformation","2026-08-24","passed","2026-08-24","","","",""
"","2402","search filters edges by name","Pathfinding","2026-08-24","passed","2026-08-24","","","",""
"Test that the digester handles empty property lists gracefully","0","TestCacheEntryDigester_EmptyMatchers","","2026-08-24","passed","2026-08-24","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/endpoint/TestCacheEntryDigester_EmptyMatchers","TestCacheEntryDigester_EmptyMatchers"
"Test cases for TestBHCEStaticHandler","61","TestBHCEStaticHandler","","2026-08-24","passed","2026-08-24","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/static/TestBHCEStaticHandler","TestBHCEStaticHandler"
