"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestManagementResource_GetAZEntity","163","TestManagementResource_GetAZEntity","","Tue Apr 21 21:26:55 UTC 2026","passed","Tue Apr 21 21:26:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestManagementResource_GetAZEntity","TestManagementResource_GetAZEntity"
"Test cases for Test_parseLatestVersion","0","Test_parseLatestVersion","","Tue Apr 21 21:27:23 UTC 2026","passed","Tue Apr 21 21:27:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/stbernard/git/Test_parseLatestVersion","Test_parseLatestVersion"
"","2305","should close the edge filtering dialog when user clicks apply button","EdgeFilter","Tue Apr 21 21:30:38 UTC 2026","passed","Tue Apr 21 21:30:41 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_Success","1477","TestManagementResource_UpdateUser_Success","","Tue Apr 21 21:27:17 UTC 2026","passed","Tue Apr 21 21:27:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_Success","TestManagementResource_UpdateUser_Success"
"Test cases for Test_ConvertAzureRoleManagementPolicyAssignment","0","Test_ConvertAzureRoleManagementPolicyAssignment","","Tue Apr 21 21:27:19 UTC 2026","passed","Tue Apr 21 21:27:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/Test_ConvertAzureRoleManagementPolicyAssignment","Test_ConvertAzureRoleManagementPolicyAssignment"
"","0","returns false if arrays have different elements","areArraysSimilar","Tue Apr 21 21:32:35 UTC 2026","passed","Tue Apr 21 21:32:35 UTC 2026","","","",""
"Test cases for TestResources_ListAssetGroupMembers","7","TestResources_ListAssetGroupMembers","","Tue Apr 21 21:26:55 UTC 2026","passed","Tue Apr 21 21:26:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroupMembers","TestResources_ListAssetGroupMembers"
"Test cases for TestManagementResource_ListUsers_InvalidColumn","0","TestManagementResource_ListUsers_InvalidColumn","","Tue Apr 21 21:27:01 UTC 2026","passed","Tue Apr 21 21:27:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_InvalidColumn","TestManagementResource_ListUsers_InvalidColumn"
"","249","should fire ""onClose"" once","UserTokenManagementDialog","Tue Apr 21 21:29:23 UTC 2026","passed","Tue Apr 21 21:29:23 UTC 2026","","when user clicks ""Close"" button","",""
"Test cases for TestEncodingInterface","0","TestEncodingInterface","","Tue Apr 21 21:27:19 UTC 2026","passed","Tue Apr 21 21:27:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingInterface","TestEncodingInterface"
