"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","removes a node from an asset group tag","AssetGroupMenuItem","Thu Feb 26 23:45:54 UTC 2026","passed","Thu Feb 26 23:45:54 UTC 2026","","","",""
"","173","displays no search results message when search yields no matches","ActiveExtensionsCard","Thu Feb 26 23:45:14 UTC 2026","passed","Thu Feb 26 23:45:14 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_GetUserError","1128","TestManagementResource_UpdateUser_GetUserError","","Thu Feb 26 23:44:13 UTC 2026","passed","Thu Feb 26 23:44:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_GetUserError","TestManagementResource_UpdateUser_GetUserError"
"Test cases for TestResources_GetBaseEntityInfo","147","TestResources_GetBaseEntityInfo","","Thu Feb 26 23:44:01 UTC 2026","passed","Thu Feb 26 23:44:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetBaseEntityInfo","TestResources_GetBaseEntityInfo"
"Test cases for TestService","0","TestService","","Thu Feb 26 23:44:10 UTC 2026","passed","Thu Feb 26 23:44:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/dogtags/TestService","TestService"
"Test cases for TestWriteErrorResponse_V2","0","TestWriteErrorResponse_V2","","Thu Feb 26 23:43:53 UTC 2026","passed","Thu Feb 26 23:43:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteErrorResponse_V2","TestWriteErrorResponse_V2"
"","5","renders without pulse animation by default","StatusIndicator","Thu Feb 26 23:49:03 UTC 2026","passed","Thu Feb 26 23:49:03 UTC 2026","","","",""
"","76","disables items via itemDisabled and hides the chevron icon visually","<DetailsAccordion />","Thu Feb 26 23:45:48 UTC 2026","passed","Thu Feb 26 23:45:48 UTC 2026","","","",""
"","6","updates key in state","useObjectState","Thu Feb 26 23:48:28 UTC 2026","passed","Thu Feb 26 23:48:28 UTC 2026","","","",""
"","81","updates value when an invalid date typed","ManagedDatePicker - value","Thu Feb 26 23:46:59 UTC 2026","passed","Thu Feb 26 23:46:59 UTC 2026","","","",""
"Test cases for TestConvertDomainToNode_DomainInvalidProperties","0","TestConvertDomainToNode_DomainInvalidProperties","","Thu Feb 26 23:44:29 UTC 2026","passed","Thu Feb 26 23:44:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertDomainToNode_DomainInvalidProperties","TestConvertDomainToNode_DomainInvalidProperties"
"Test cases for Test_ParseGraphSortParameters_InvalidSortColumn","0","Test_ParseGraphSortParameters_InvalidSortColumn","","Thu Feb 26 23:43:53 UTC 2026","passed","Thu Feb 26 23:43:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseGraphSortParameters_InvalidSortColumn","Test_ParseGraphSortParameters_InvalidSortColumn"
"","1351","should render","EdgeInfoHeader","Thu Feb 26 23:47:52 UTC 2026","passed","Thu Feb 26 23:47:53 UTC 2026","","","",""
"","180","calls setExploreParams with searchType and relationshipQueryItemId when selecting a composition accordion","EdgeInfoContent","Thu Feb 26 23:45:11 UTC 2026","passed","Thu Feb 26 23:45:12 UTC 2026","","EdgeInfoContent support for Deep Linking","",""
"","256","should display correctly","ConfirmationDialog","Thu Feb 26 23:48:59 UTC 2026","passed","Thu Feb 26 23:48:59 UTC 2026","","","",""
"","1","should compute coordinates along a quadratic bezier curve for a given t value","bezier","Thu Feb 26 23:50:01 UTC 2026","passed","Thu Feb 26 23:50:01 UTC 2026","","","",""
"","157","should render tag to Label content","TagToZoneLabelDialog","Thu Feb 26 23:47:11 UTC 2026","passed","Thu Feb 26 23:47:11 UTC 2026","","","",""
"","280","calls openOIDCProviderDialog when OIDC Provider menu item is clicked","CreateMenu","Thu Feb 26 23:45:59 UTC 2026","passed","Thu Feb 26 23:45:59 UTC 2026","","oidc_support feature flag enabled","",""
"","928","should call onSubmit with password when reset password button clicked","PasswordResetForm","Thu Feb 26 23:46:48 UTC 2026","passed","Thu Feb 26 23:46:49 UTC 2026","","","",""
