"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","822","renders the form for editing an existing rule","Rule Form","Mon Mar 02 19:28:56 UTC 2026","passed","Mon Mar 02 19:28:57 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainOutboundTrusts","0","TestResources_ListADDomainOutboundTrusts","","Mon Mar 02 19:27:36 UTC 2026","passed","Mon Mar 02 19:27:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainOutboundTrusts","TestResources_ListADDomainOutboundTrusts"
"Test cases for TestManagementResource_EnrollMFA","2178","TestManagementResource_EnrollMFA","","Mon Mar 02 19:27:57 UTC 2026","passed","Mon Mar 02 19:27:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_EnrollMFA","TestManagementResource_EnrollMFA"
"","4","does not request finished jobs if lacking permission","useFinishedJobs","Mon Mar 02 19:30:31 UTC 2026","passed","Mon Mar 02 19:30:31 UTC 2026","","","",""
"Test cases for TestSetValue","1","TestSetValue","","Mon Mar 02 19:27:38 UTC 2026","passed","Mon Mar 02 19:27:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/TestSetValue","TestSetValue"
"","1360","handles delete by source kind","DatabaseManagement","Mon Mar 02 19:33:45 UTC 2026","passed","Mon Mar 02 19:33:46 UTC 2026","","","",""
"Test cases for TestAddOrderByToNeo4jQuery_NoOrderByClause","0","TestAddOrderByToNeo4jQuery_NoOrderByClause","","Mon Mar 02 19:27:36 UTC 2026","passed","Mon Mar 02 19:27:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddOrderByToNeo4jQuery_NoOrderByClause","TestAddOrderByToNeo4jQuery_NoOrderByClause"
"","18","allows you to update the list of selected filters, only updating the url after calling the apply function","usePathfindingFilters","Mon Mar 02 19:32:32 UTC 2026","passed","Mon Mar 02 19:32:32 UTC 2026","","","",""
"Test cases for TestResources_CreateSavedQuery_InvalidBody","0","TestResources_CreateSavedQuery_InvalidBody","","Mon Mar 02 19:27:36 UTC 2026","passed","Mon Mar 02 19:27:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_InvalidBody","TestResources_CreateSavedQuery_InvalidBody"
"Test cases for TestResources_UpdateSavedQuery_UpdateFailed","0","TestResources_UpdateSavedQuery_UpdateFailed","","Mon Mar 02 19:27:36 UTC 2026","passed","Mon Mar 02 19:27:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_UpdateFailed","TestResources_UpdateSavedQuery_UpdateFailed"
"Test cases for TestResources_ListAuditLogs","0","TestResources_ListAuditLogs","","Mon Mar 02 19:27:36 UTC 2026","passed","Mon Mar 02 19:27:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs","TestResources_ListAuditLogs"
"Test cases for TestUnmarshalInt64","0","TestUnmarshalInt64","","Mon Mar 02 19:27:43 UTC 2026","passed","Mon Mar 02 19:27:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64","TestUnmarshalInt64"
"Test cases for TestResources_ListADOUContainedComputers","1","TestResources_ListADOUContainedComputers","","Mon Mar 02 19:27:36 UTC 2026","passed","Mon Mar 02 19:27:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADOUContainedComputers","TestResources_ListADOUContainedComputers"
"","6","dismisses the ""no permission"" notification on unmount","useFinishedJobs","Mon Mar 02 19:30:31 UTC 2026","passed","Mon Mar 02 19:30:31 UTC 2026","","","",""
"Test cases for TestBuildErrorResponseDefault","0","TestBuildErrorResponseDefault","","Mon Mar 02 19:27:28 UTC 2026","passed","Mon Mar 02 19:27:28 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseDefault","TestBuildErrorResponseDefault"
"","1457","handles posting a mutation","DatabaseManagement","Mon Mar 02 19:33:43 UTC 2026","passed","Mon Mar 02 19:33:45 UTC 2026","","","",""
"","335","renders a non-primary button as expected","DropdownSelector","Mon Mar 02 19:31:56 UTC 2026","passed","Mon Mar 02 19:31:57 UTC 2026","","","",""
"","0","returns disabled config when any required param is falsey","useExploreGraph","Mon Mar 02 19:30:27 UTC 2026","passed","Mon Mar 02 19:30:27 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"Test cases for TestManagementResource_ListAuthTokens_Admin","0","TestManagementResource_ListAuthTokens_Admin","","Mon Mar 02 19:27:57 UTC 2026","passed","Mon Mar 02 19:27:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_Admin","TestManagementResource_ListAuthTokens_Admin"
"","255","should display a searchbox with a placeholder when rendered","AssetGroupEdit","Mon Mar 02 19:31:25 UTC 2026","passed","Mon Mar 02 19:31:26 UTC 2026","","","",""
"","0","A type was provided but no keyword follows the typed filter","Getting the text for the disabled item display for a search when there are no results","Mon Mar 02 19:31:05 UTC 2026","passed","Mon Mar 02 19:31:05 UTC 2026","","Empty data states","",""
"Test cases for TestEncodingInterface","0","TestEncodingInterface","","Mon Mar 02 19:28:04 UTC 2026","passed","Mon Mar 02 19:28:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingInterface","TestEncodingInterface"
"Test cases for TestInt64Pointer","0","TestInt64Pointer","","Mon Mar 02 19:27:43 UTC 2026","passed","Mon Mar 02 19:27:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64Pointer","TestInt64Pointer"
"","1","runs a node search when the query param is set to ""node""","useExploreGraph","Mon Mar 02 19:30:27 UTC 2026","passed","Mon Mar 02 19:30:27 UTC 2026","","exploreGraphQueryFactory","",""
