"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestSIDSuffix_String","0","TestSIDSuffix_String","","Mon Jan 12 20:51:19 UTC 2026","passed","Mon Jan 12 20:51:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestSIDSuffix_String","TestSIDSuffix_String"
"Test cases for Test_GetAssetGroupMembersByTag","2","Test_GetAssetGroupMembersByTag","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersByTag","Test_GetAssetGroupMembersByTag"
"","1352","should open edge filtering dialog","EdgeFilter","Mon Jan 12 20:53:44 UTC 2026","passed","Mon Jan 12 20:53:45 UTC 2026","","","",""
"","3","Default label and sizing are used when graph of origin does not specify","copySigmaNodesToGraphlibGraph","Mon Jan 12 20:56:56 UTC 2026","passed","Mon Jan 12 20:56:56 UTC 2026","","","",""
"","57","collapses an open item when its header is clicked again","<DetailsAccordion />","Mon Jan 12 20:52:41 UTC 2026","passed","Mon Jan 12 20:52:41 UTC 2026","","","",""
"Test cases for TestInt64From","0","TestInt64From","","Mon Jan 12 20:51:09 UTC 2026","passed","Mon Jan 12 20:51:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64From","TestInt64From"
"Test cases for TestParseOptionalLimitQueryParameter","58","TestParseOptionalLimitQueryParameter","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseOptionalLimitQueryParameter","TestParseOptionalLimitQueryParameter"
"","725","calls the passed in cancel handler when clicking the Cancel button","Glyph Select Dialog","Mon Jan 12 20:55:37 UTC 2026","passed","Mon Jan 12 20:55:38 UTC 2026","","","",""
"","264","should render with the correct content","ConfirmUpdateQueryDialog","Mon Jan 12 20:55:37 UTC 2026","passed","Mon Jan 12 20:55:38 UTC 2026","","","",""
"Test cases for TestParseOptionalBoolEmptyValue","0","TestParseOptionalBoolEmptyValue","","Mon Jan 12 20:50:56 UTC 2026","passed","Mon Jan 12 20:50:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestParseOptionalBoolEmptyValue","TestParseOptionalBoolEmptyValue"
"","1944","Clicking on a row causes row to be selected","ExploreTable","Mon Jan 12 20:51:57 UTC 2026","passed","Mon Jan 12 20:51:59 UTC 2026","","","",""
"Test cases for Test_filterNodesToSearchResult_filterEnvironments","0","Test_filterNodesToSearchResult_filterEnvironments","","Mon Jan 12 20:51:11 UTC 2026","passed","Mon Jan 12 20:51:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult_filterEnvironments","Test_filterNodesToSearchResult_filterEnvironments"
"Test cases for TestResources_DeleteSavedQuery_RecordNotFound","0","TestResources_DeleteSavedQuery_RecordNotFound","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_RecordNotFound","TestResources_DeleteSavedQuery_RecordNotFound"
"","7","sets autoDisplayTable to false if query type is node","useExploreTableAutoDisplay","Mon Jan 12 20:54:56 UTC 2026","passed","Mon Jan 12 20:54:56 UTC 2026","","","",""
"","259","calls onToggleEdgeLabels when click show all edge labels","GraphControls","Mon Jan 12 20:52:32 UTC 2026","passed","Mon Jan 12 20:52:33 UTC 2026","","Toggling labels","",""
"Test cases for TestSupportsETACMiddleware","0","TestSupportsETACMiddleware","","Mon Jan 12 20:50:57 UTC 2026","passed","Mon Jan 12 20:50:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestSupportsETACMiddleware","TestSupportsETACMiddleware"
"","3449","Typing in the search bar filters the results","ExploreTable","Mon Jan 12 20:51:54 UTC 2026","passed","Mon Jan 12 20:51:57 UTC 2026","","","",""
"","2","formats the date string","toFormatted","Mon Jan 12 20:55:18 UTC 2026","passed","Mon Jan 12 20:55:18 UTC 2026","","","",""
"","42","passes data to testing component","SavedQueriesProvider","Mon Jan 12 20:55:42 UTC 2026","passed","Mon Jan 12 20:55:42 UTC 2026","","","",""
"","11","dismisses the ""no permission"" notification on unmount","useFinishedJobs","Mon Jan 12 20:53:31 UTC 2026","passed","Mon Jan 12 20:53:31 UTC 2026","","","",""
"","334","displays expected results when searching by label","SearchCurrentNodes","Mon Jan 12 20:54:07 UTC 2026","passed","Mon Jan 12 20:54:08 UTC 2026","","","",""
"Test cases for TestResources_StartIngestJob","67","TestResources_StartIngestJob","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_StartIngestJob","TestResources_StartIngestJob"
"","1334","should render","EntityInfoHeader","Mon Jan 12 20:54:42 UTC 2026","passed","Mon Jan 12 20:54:43 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainContainedComputers","2","TestResources_ListADDomainContainedComputers","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedComputers","TestResources_ListADDomainContainedComputers"
"","450","should render","OneTimePasscodeForm","Mon Jan 12 20:55:14 UTC 2026","passed","Mon Jan 12 20:55:14 UTC 2026","","","",""
"Test cases for TestParseKind","0","TestParseKind","","Mon Jan 12 20:51:18 UTC 2026","passed","Mon Jan 12 20:51:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestParseKind","TestParseKind"
"","409","displays default text for domain selector when globalDomain is null","GroupManagement","Mon Jan 12 20:56:44 UTC 2026","passed","Mon Jan 12 20:56:45 UTC 2026","","","",""
"Test cases for TestStringFromPtr","0","TestStringFromPtr","","Mon Jan 12 20:51:09 UTC 2026","passed","Mon Jan 12 20:51:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFromPtr","TestStringFromPtr"
"","34","when `selectedItem` is null, the combobox does not display an icon","icon rendering","Mon Jan 12 20:52:59 UTC 2026","passed","Mon Jan 12 20:52:59 UTC 2026","","","",""
"","134","should call onLoginViaSAML when login via sso button clicked","LoginForm","Mon Jan 12 20:55:22 UTC 2026","passed","Mon Jan 12 20:55:22 UTC 2026","","","",""
"","2014","should remove the option from the changelog when the corresponding button is clicked","AssetGroupEdit","Mon Jan 12 20:54:25 UTC 2026","passed","Mon Jan 12 20:54:27 UTC 2026","","","",""
