"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1733","shows the ""Disable MFA"" context menu option for users with MFA enabled","Users","Wed Apr 08 22:37:23 UTC 2026","passed","Wed Apr 08 22:37:25 UTC 2026","","","",""
"Test cases for TestResources_UpdateAssetGroupTag","2","TestResources_UpdateAssetGroupTag","","Wed Apr 08 22:34:36 UTC 2026","passed","Wed Apr 08 22:34:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupTag","TestResources_UpdateAssetGroupTag"
"Test cases for TestHeaderMatches","0","TestHeaderMatches","","Wed Apr 08 22:35:01 UTC 2026","passed","Wed Apr 08 22:35:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestHeaderMatches","TestHeaderMatches"
"","185","renders Zone as first tab and is also the initially selected on first render in Zone View/Tab","Selected Details Tabs","Wed Apr 08 22:37:34 UTC 2026","passed","Wed Apr 08 22:37:34 UTC 2026","","Selected Details Tabs - Params present","",""
"","424","renders the Rule Tab content when Rule tab is chosen","Selected Details Tab Content","Wed Apr 08 22:39:28 UTC 2026","passed","Wed Apr 08 22:39:28 UTC 2026","","","",""
"Test cases for TestResources_ImportSavedQuery","20","TestResources_ImportSavedQuery","","Wed Apr 08 22:34:37 UTC 2026","passed","Wed Apr 08 22:34:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ImportSavedQuery","TestResources_ImportSavedQuery"
"Test cases for TestBuildSQLSort","1","TestBuildSQLSort","","Wed Apr 08 22:34:26 UTC 2026","passed","Wed Apr 08 22:34:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildSQLSort","TestBuildSQLSort"
"Test cases for TestResources_ExportSavedQueries","14","TestResources_ExportSavedQueries","","Wed Apr 08 22:34:37 UTC 2026","passed","Wed Apr 08 22:34:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ExportSavedQueries","TestResources_ExportSavedQueries"
"","42","applies empty state height when no results","ActiveExtensionsCard","Wed Apr 08 22:35:51 UTC 2026","passed","Wed Apr 08 22:35:51 UTC 2026","","","",""
"","4409","should render","Pathfinding","Wed Apr 08 22:37:00 UTC 2026","passed","Wed Apr 08 22:37:04 UTC 2026","","","",""
"Test cases for TestChangeCache","2","TestChangeCache","","Wed Apr 08 22:34:38 UTC 2026","passed","Wed Apr 08 22:34:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestChangeCache","TestChangeCache"
