"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","enables pulling an ordered list of tags by position ascending","the useAssetGroupTags utilities","Wed Jul 01 16:49:27 UTC 2026","passed","Wed Jul 01 16:49:27 UTC 2026","","","",""
"","159","renders enabled Zone and Rule tabs and disabled Object tab","Selected Details Tabs","Wed Jul 01 16:50:12 UTC 2026","passed","Wed Jul 01 16:50:12 UTC 2026","","Selected Details Tabs - Params present","",""
"","8","hides items when the user lacks admin permissions","useSubNavRoutes","Wed Jul 01 16:50:22 UTC 2026","passed","Wed Jul 01 16:50:22 UTC 2026","","adminOnly gate","",""
"Test cases for TestManagementResource_DeleteUser_UserNotFound","0","TestManagementResource_DeleteUser_UserNotFound","","Wed Jul 01 16:46:36 UTC 2026","passed","Wed Jul 01 16:46:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_UserNotFound","TestManagementResource_DeleteUser_UserNotFound"
"","1","lastlogon, lastlogontimestamp","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Wed Jul 01 16:49:38 UTC 2026","passed","Wed Jul 01 16:49:38 UTC 2026","","","",""
"","4","wraps a plain value in single quotes","escapeCypherString","Wed Jul 01 16:52:53 UTC 2026","passed","Wed Jul 01 16:52:53 UTC 2026","","","",""
"","278","fires click handlers","ConfirmDeleteQueryDialog","Wed Jul 01 16:52:53 UTC 2026","passed","Wed Jul 01 16:52:53 UTC 2026","","","",""
"","139","does not show ""<10 Days to Expire"" warning when token expires in more than 10 days","UserTokenManagementDialog - API Expiration Date column","Wed Jul 01 16:49:23 UTC 2026","passed","Wed Jul 01 16:49:23 UTC 2026","","","",""
"","315","renders the Import Query Dialog","ImportQueryDialog","Wed Jul 01 16:52:52 UTC 2026","passed","Wed Jul 01 16:52:52 UTC 2026","","","",""
"","0","returns disabled if relationshipQueryItemId does not have a matching sourceId, edgeType, targetId","useExploreGraph","Wed Jul 01 16:49:01 UTC 2026","passed","Wed Jul 01 16:49:01 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"Test cases for TestResources_ListPublishedToCAs","0","TestResources_ListPublishedToCAs","","Wed Jul 01 16:46:14 UTC 2026","passed","Wed Jul 01 16:46:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListPublishedToCAs","TestResources_ListPublishedToCAs"
"Test cases for TestGetPageParamsForGraphQuery","0","TestGetPageParamsForGraphQuery","","Wed Jul 01 16:46:40 UTC 2026","passed","Wed Jul 01 16:46:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetPageParamsForGraphQuery","TestGetPageParamsForGraphQuery"
