"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","UpdateUserForm","Mon Mar 30 19:53:00 UTC 2026","passed","Mon Mar 30 19:53:00 UTC 2026","","","",""
"Test cases for TestInt64FromPtr","0","TestInt64FromPtr","","Mon Mar 30 19:51:59 UTC 2026","passed","Mon Mar 30 19:51:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64FromPtr","TestInt64FromPtr"
"Test cases for TestNewManifest","0","TestNewManifest","","Mon Mar 30 19:51:58 UTC 2026","passed","Mon Mar 30 19:51:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestNewManifest","TestNewManifest"
"","6","displays lastlogontimestamp cell as NEVER when the value is -1","ExploreTableDataCell","Mon Mar 30 19:56:29 UTC 2026","passed","Mon Mar 30 19:56:29 UTC 2026","","","",""
"Test cases for TestDetectBOMEncoding","0","TestDetectBOMEncoding","","Mon Mar 30 19:52:21 UTC 2026","passed","Mon Mar 30 19:52:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestDetectBOMEncoding","TestDetectBOMEncoding"
"","276","should display ""Cancel"" button","Enable2FADialog","Mon Mar 30 19:55:51 UTC 2026","passed","Mon Mar 30 19:55:52 UTC 2026","","","",""
"Test cases for TestGetADDataQualityStats_Success","3","TestGetADDataQualityStats_Success","","Mon Mar 30 19:51:55 UTC 2026","passed","Mon Mar 30 19:51:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Success","TestGetADDataQualityStats_Success"
"","151","renders a snackbar notification in the dom and tests the long autoHideDuration","AppNotifications","Mon Mar 30 19:55:55 UTC 2026","passed","Mon Mar 30 19:55:56 UTC 2026","","","",""
"Test cases for Test_CheckAccessToEnvironments","94","Test_CheckAccessToEnvironments","","Mon Mar 30 19:51:55 UTC 2026","passed","Mon Mar 30 19:51:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_CheckAccessToEnvironments","Test_CheckAccessToEnvironments"
"Test cases for TestResources_ListPublishedTemplates","0","TestResources_ListPublishedTemplates","","Mon Mar 30 19:51:55 UTC 2026","passed","Mon Mar 30 19:51:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListPublishedTemplates","TestResources_ListPublishedTemplates"
"","8","renders highlight only for active member when memberId is present","SelectedHighlight","Mon Mar 30 19:56:18 UTC 2026","passed","Mon Mar 30 19:56:18 UTC 2026","","","",""
"","806","should render with a full list of multiple tenants and domains","Simple Environment Selector","Mon Mar 30 19:54:12 UTC 2026","passed","Mon Mar 30 19:54:13 UTC 2026","","","",""
